global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,cifar100-cl4-task1-npz,0,0,5,3;2;0;4;1,1,none,1,0,0.0,0.10147299509001637,0.10147299509001637,nan,nan,nan,nan,nan,0,"{""1"": 0.0}","{""1"": 0.10147299509001637}","{""1"": 0.10147299509001637}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.74549872612861,0.30942147325457536,1.3208568086776393,1.136266275412368,0.7558343779860062
2,1,2,cifar100-cl4-task1-npz,0,0,5,1;0;2;4;3,1,none,1,0,0.10147299509001637,0.16612111292962356,0.0646481178396072,nan,nan,nan,nan,nan,0,"{""1"": 0.10147299509001637}","{""1"": 0.16612111292962356}","{""1"": 0.0646481178396072}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6752609787154005,0.2576527847759136,1.2682732538523354,1.0814948371148763,0.7667512802550428
3,1,3,cifar100-cl4-task1-npz,0,0,5,4;1;2;3;0,1,none,1,0,0.16612111292962356,0.30851063829787234,0.14238952536824878,nan,nan,nan,nan,nan,0,"{""1"": 0.16612111292962356}","{""1"": 0.30851063829787234}","{""1"": 0.14238952536824878}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5619572669567903,0.19635565021827428,1.2034464996055954,0.9867378131318508,0.7759010098534689
4,1,4,cifar100-cl4-task1-npz,0,0,5,4;3;1;2;0,1,none,1,0,0.30851063829787234,0.3453355155482815,0.03682487725040917,nan,nan,nan,nan,nan,0,"{""1"": 0.30851063829787234}","{""1"": 0.3453355155482815}","{""1"": 0.03682487725040917}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.53071106989452,0.19543741894111102,1.179737643837983,0.9641464170493901,0.7770925892745011
5,1,5,cifar100-cl4-task1-npz,0,0,5,3;2;4;1;0,1,none,1,0,0.3453355155482815,0.38543371522094927,0.040098199672667756,nan,nan,nan,nan,nan,0,"{""1"": 0.3453355155482815}","{""1"": 0.38543371522094927}","{""1"": 0.040098199672667756}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.523418555529342,0.17842458750936405,1.1764859698353525,0.9584171540964777,0.7770983579021946
6,1,6,cifar100-cl4-task1-npz,0,0,5,4;0;3;2;1,1,none,1,0,0.38543371522094927,0.4026186579378069,0.01718494271685761,nan,nan,nan,nan,nan,0,"{""1"": 0.38543371522094927}","{""1"": 0.4026186579378069}","{""1"": 0.01718494271685761}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5521337023513246,0.1774658165909911,1.1977971290324232,0.9795611944296734,0.775670224369922
7,1,7,cifar100-cl4-task1-npz,0,0,5,3;2;1;4;0,1,none,1,0,0.4026186579378069,0.4198036006546645,0.01718494271685761,nan,nan,nan,nan,nan,0,"{""1"": 0.4026186579378069}","{""1"": 0.4198036006546645}","{""1"": 0.01718494271685761}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5890219565016985,0.17455671175388163,1.2258442129869462,1.0041387048249208,0.7748510126457039
8,1,8,cifar100-cl4-task1-npz,0,0,5,3;1;2;0;4,1,none,1,0,0.4198036006546645,0.42225859247135844,0.002454991816693952,nan,nan,nan,nan,nan,0,"{""1"": 0.4198036006546645}","{""1"": 0.42225859247135844}","{""1"": 0.002454991816693952}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.622582982600866,0.1606494749438849,1.2496093641207164,1.028726266902309,0.7729484405387339
9,1,9,cifar100-cl4-task1-npz,0,0,5,0;2;3;4;1,1,none,1,0,0.42225859247135844,0.4353518821603928,0.013093289689034338,nan,nan,nan,nan,nan,0,"{""1"": 0.42225859247135844}","{""1"": 0.4353518821603928}","{""1"": 0.013093289689034338}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6580741705891633,0.1467433086418386,1.2774101352885976,1.0512417557722666,0.7724711256957555
10,1,10,cifar100-cl4-task1-npz,0,0,5,1;4;0;3;2,1,none,1,0,0.4353518821603928,0.4459901800327332,0.010638297872340441,nan,nan,nan,nan,nan,0,"{""1"": 0.4353518821603928}","{""1"": 0.4459901800327332}","{""1"": 0.010638297872340441}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6940425192139554,0.12785305326905375,1.3009249281688038,1.080015652710408,0.7694758947254108
