global_round,task_idx,round_in_task,phase,scope,client_id,old_task_idx,old_dataset,exp_id,run_seed,lambda_max,opt_drift,batch_offsets,num_clients_used
201,2,1,before_local,global,-1,1,cifar100-cl4-task1-npz,A,0,110.7170295715332,0.11820041287121169,1;2;2;1;1,5
201,2,1,before_local,client,1,1,cifar100-cl4-task1-npz,A,0,78.88569641113281,1.0917463985670717,1,1
201,2,1,before_local,client,0,1,cifar100-cl4-task1-npz,A,0,122.20167541503906,1.3291294306898755,2,1
201,2,1,before_local,client,4,1,cifar100-cl4-task1-npz,A,0,131.5542449951172,1.129365929270149,1,1
201,2,1,before_local,client,3,1,cifar100-cl4-task1-npz,A,0,185.025634765625,0.8943201043286333,2,1
201,2,1,before_local,client,2,1,cifar100-cl4-task1-npz,A,0,135.8643035888672,0.8841916631450062,4,1
201,2,1,after_local,client,1,1,cifar100-cl4-task1-npz,A,0,57.37162780761719,7.537737449757735,1,1
201,2,1,after_local,client,0,1,cifar100-cl4-task1-npz,A,0,93.98117065429688,7.701735322687407,2,1
201,2,1,after_local,client,4,1,cifar100-cl4-task1-npz,A,0,49.315338134765625,8.100769845209694,1,1
201,2,1,after_local,client,3,1,cifar100-cl4-task1-npz,A,0,86.13040924072266,8.527981404662562,2,1
201,2,1,after_local,client,2,1,cifar100-cl4-task1-npz,A,0,79.63528442382812,6.913744613780586,4,1
201,2,1,after_agg,global,-1,1,cifar100-cl4-task1-npz,A,0,13.959490776062012,6.359559605500018,1;2;2;1;1,5
202,2,2,before_local,global,-1,1,cifar100-cl4-task1-npz,A,0,13.923949241638184,6.359559605500018,0;1;3;0;0,5
202,2,2,before_local,client,0,1,cifar100-cl4-task1-npz,A,0,18.446752548217773,6.561780191437701,0,1
202,2,2,before_local,client,1,1,cifar100-cl4-task1-npz,A,0,14.407713890075684,6.48089750942723,2,1
202,2,2,before_local,client,3,1,cifar100-cl4-task1-npz,A,0,16.1053466796875,6.47887392824313,0,1
202,2,2,before_local,client,2,1,cifar100-cl4-task1-npz,A,0,14.034850120544434,6.399782065858186,0,1
202,2,2,before_local,client,4,1,cifar100-cl4-task1-npz,A,0,17.10187339782715,6.503814654951102,0,1
202,2,2,after_local,client,0,1,cifar100-cl4-task1-npz,A,0,75.99205017089844,6.957043210811282,0,1
202,2,2,after_local,client,1,1,cifar100-cl4-task1-npz,A,0,63.67212677001953,6.787814516994317,2,1
202,2,2,after_local,client,3,1,cifar100-cl4-task1-npz,A,0,75.42759704589844,6.876376602678254,0,1
202,2,2,after_local,client,2,1,cifar100-cl4-task1-npz,A,0,52.866050720214844,6.952217549943558,0,1
202,2,2,after_local,client,4,1,cifar100-cl4-task1-npz,A,0,53.60887145996094,7.009892537202936,0,1
202,2,2,after_agg,global,-1,1,cifar100-cl4-task1-npz,A,0,33.2535587310791,6.6521004667613015,0;1;3;0;0,5
203,2,3,before_local,global,-1,1,cifar100-cl4-task1-npz,A,0,34.155086517333984,6.6521004667613015,2;0;4;2;1,5
203,2,3,before_local,client,0,1,cifar100-cl4-task1-npz,A,0,49.233768463134766,6.859646819492251,1,1
203,2,3,before_local,client,2,1,cifar100-cl4-task1-npz,A,0,35.0013313293457,6.692649907786038,1,1
203,2,3,before_local,client,3,1,cifar100-cl4-task1-npz,A,0,53.21124267578125,6.755895419326536,1,1
203,2,3,before_local,client,4,1,cifar100-cl4-task1-npz,A,0,39.979278564453125,6.7755698171822285,1,1
203,2,3,before_local,client,1,1,cifar100-cl4-task1-npz,A,0,40.880104064941406,6.761541415489007,0,1
203,2,3,after_local,client,0,1,cifar100-cl4-task1-npz,A,0,57.751155853271484,7.214509743268955,1,1
203,2,3,after_local,client,2,1,cifar100-cl4-task1-npz,A,0,85.85697937011719,6.889008067952736,1,1
203,2,3,after_local,client,3,1,cifar100-cl4-task1-npz,A,0,74.26075744628906,7.049657011883116,1,1
203,2,3,after_local,client,4,1,cifar100-cl4-task1-npz,A,0,58.73553466796875,7.267992393314138,1,1
203,2,3,after_local,client,1,1,cifar100-cl4-task1-npz,A,0,80.98490905761719,6.996631584867869,0,1
203,2,3,after_agg,global,-1,1,cifar100-cl4-task1-npz,A,0,36.61811790466309,6.912889561057851,2;0;4;2;1,5
204,2,4,before_local,global,-1,1,cifar100-cl4-task1-npz,A,0,35.187801361083984,6.912889561057851,1;2;0;1;0,5
204,2,4,before_local,client,2,1,cifar100-cl4-task1-npz,A,0,38.888031005859375,6.952821494561346,2,1
204,2,4,before_local,client,3,1,cifar100-cl4-task1-npz,A,0,65.76448822021484,7.010655179555203,2,1
204,2,4,before_local,client,4,1,cifar100-cl4-task1-npz,A,0,39.32202911376953,7.025670195280517,0,1
204,2,4,before_local,client,0,1,cifar100-cl4-task1-npz,A,0,50.2984619140625,7.12059894481162,2,1
204,2,4,before_local,client,1,1,cifar100-cl4-task1-npz,A,0,41.532901763916016,7.006639789666956,1,1
204,2,4,after_local,client,2,1,cifar100-cl4-task1-npz,A,0,83.19139862060547,7.1081567886455606,2,1
204,2,4,after_local,client,3,1,cifar100-cl4-task1-npz,A,0,79.60151672363281,7.298387070605938,2,1
204,2,4,after_local,client,4,1,cifar100-cl4-task1-npz,A,0,61.569583892822266,7.559852621929805,0,1
204,2,4,after_local,client,0,1,cifar100-cl4-task1-npz,A,0,68.47434997558594,7.436794135313422,2,1
204,2,4,after_local,client,1,1,cifar100-cl4-task1-npz,A,0,83.65033721923828,7.268723282812076,1,1
