global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,cifar100-cl4-task1-npz,0,0,5,3;2;0;4;1,0,none,1,0,0.0,0.10147299509001637,0.10147299509001637,nan,nan,nan,nan,nan,0,"{""1"": 0.0}","{""1"": 0.10147299509001637}","{""1"": 0.10147299509001637}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.745524984066066,0.3091842507880189,1.3207100421574922,1.1365110304475414,0.7557225992623131
2,1,2,cifar100-cl4-task1-npz,0,0,5,1;0;2;4;3,0,none,1,0,0.10147299509001637,0.1783960720130933,0.07692307692307693,nan,nan,nan,nan,nan,0,"{""1"": 0.10147299509001637}","{""1"": 0.1783960720130933}","{""1"": 0.07692307692307693}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5993907394166988,0.2329410860583631,1.1167397831401007,1.134352109400989,0.7081617638432796
3,1,3,cifar100-cl4-task1-npz,0,0,5,4;1;2;3;0,0,none,1,0,0.1783960720130933,0.33060556464811786,0.15220949263502456,nan,nan,nan,nan,nan,0,"{""1"": 0.1783960720130933}","{""1"": 0.33060556464811786}","{""1"": 0.15220949263502456}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.435735935799054,0.16154429016259617,0.9806426040026797,1.0416879863241093,0.6893236034042838
4,1,4,cifar100-cl4-task1-npz,0,0,5,4;3;1;2;0,0,none,1,0,0.33060556464811786,0.3576104746317512,0.027004909983633363,nan,nan,nan,nan,nan,0,"{""1"": 0.33060556464811786}","{""1"": 0.3576104746317512}","{""1"": 0.027004909983633363}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3863417296189868,0.15884314623950851,0.9115637158989791,1.0357582813918147,0.6650545416382009
5,1,5,cifar100-cl4-task1-npz,0,0,5,3;2;4;1;0,0,none,1,0,0.3576104746317512,0.3911620294599018,0.03355155482815059,nan,nan,nan,nan,nan,0,"{""1"": 0.3576104746317512}","{""1"": 0.3911620294599018}","{""1"": 0.03355155482815059}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.360106812289972,0.14660722168773396,0.8660171045084161,1.0398102901716961,0.6441038659727646
6,1,6,cifar100-cl4-task1-npz,0,0,5,4;0;3;2;1,0,none,1,0,0.3911620294599018,0.4001636661211129,0.009001636661211121,nan,nan,nan,nan,nan,0,"{""1"": 0.3911620294599018}","{""1"": 0.4001636661211129}","{""1"": 0.009001636661211121}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3478631106206658,0.1360129020051417,0.8355921666377369,1.0496829208009781,0.6262882258441866
7,1,7,cifar100-cl4-task1-npz,0,0,5,3;2;1;4;0,0,none,1,0,0.4001636661211129,0.4198036006546645,0.019639934533551562,nan,nan,nan,nan,nan,0,"{""1"": 0.4001636661211129}","{""1"": 0.4198036006546645}","{""1"": 0.019639934533551562}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3454257846942759,0.13152933567904218,0.8109230438468241,1.0667292207725914,0.608177328924318
8,1,8,cifar100-cl4-task1-npz,0,0,5,3;1;2;0;4,0,none,1,0,0.4198036006546645,0.4337152209492635,0.013911620294599025,nan,nan,nan,nan,nan,0,"{""1"": 0.4198036006546645}","{""1"": 0.4337152209492635}","{""1"": 0.013911620294599025}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3468457030760763,0.12974815525757866,0.7851988662368943,1.0879891046463397,0.588207954298484
9,1,9,cifar100-cl4-task1-npz,0,0,5,0;2;3;4;1,0,none,1,0,0.4337152209492635,0.4451718494271686,0.011456628477905073,nan,nan,nan,nan,nan,0,"{""1"": 0.4337152209492635}","{""1"": 0.4451718494271686}","{""1"": 0.011456628477905073}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3584866290523636,0.11751016375473199,0.7708383711814049,1.1130550795068856,0.5717594952047698
10,1,10,cifar100-cl4-task1-npz,0,0,5,1;4;0;3;2,0,none,1,0,0.4451718494271686,0.45499181669394434,0.009819967266775753,nan,nan,nan,nan,nan,0,"{""1"": 0.4451718494271686}","{""1"": 0.45499181669394434}","{""1"": 0.009819967266775753}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3734961362277012,0.10652042678882626,0.7541172708527129,1.1430835426137476,0.5525376946342133
