global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
201,2,1,cifar100-cl4-task2-npz,1,1,cifar100-cl4-task1-npz,C,0,0.4331983805668016,0.4331983805668016,0.0,247
201,2,1,cifar100-cl4-task2-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
201,2,1,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,C,0,0.5867768595041323,0.5867768595041323,0.0,242
201,2,1,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
201,2,1,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,C,0,0.427536231884058,0.427536231884058,0.0,138
201,2,1,cifar100-cl4-task2-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
201,2,1,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,C,0,0.36633663366336633,0.36633663366336633,0.0,202
201,2,1,cifar100-cl4-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
201,2,1,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,C,0,0.6463104325699746,0.6463104325699746,0.0,393
201,2,1,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
202,2,2,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,C,0,0.004132231404958678,0.004132231404958678,0.0,242
202,2,2,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
202,2,2,cifar100-cl4-task2-npz,1,1,cifar100-cl4-task1-npz,C,0,0.05263157894736842,0.05263157894736842,0.0,247
202,2,2,cifar100-cl4-task2-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
202,2,2,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,C,0,0.0,0.0,0.0,202
202,2,2,cifar100-cl4-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
202,2,2,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,C,0,0.020356234096692113,0.020356234096692113,0.0,393
202,2,2,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
202,2,2,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,C,0,0.07246376811594203,0.07246376811594203,0.0,138
202,2,2,cifar100-cl4-task2-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
203,2,3,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,C,0,0.0,0.0,0.0,242
203,2,3,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
203,2,3,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,C,0,0.0,0.0,0.0,393
203,2,3,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
203,2,3,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,C,0,0.0,0.0,0.0,202
203,2,3,cifar100-cl4-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
203,2,3,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,C,0,0.0,0.0,0.0,138
