global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,cifar100-cl4-task1-npz,0,0,5,3;2;0;4;1,1,freeze_P,0,0,0.0,0.10147299509001637,0.10147299509001637,nan,nan,nan,nan,nan,0,"{""1"": 0.0}","{""1"": 0.10147299509001637}","{""1"": 0.10147299509001637}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.7725949115519046,0.33940806846580335,0.0,1.7725949115519046,0.0
2,1,2,cifar100-cl4-task1-npz,0,0,5,1;0;2;4;3,1,freeze_P,0,0,0.10147299509001637,0.20621931260229132,0.10474631751227495,nan,nan,nan,nan,nan,0,"{""1"": 0.10147299509001637}","{""1"": 0.20621931260229132}","{""1"": 0.10474631751227495}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.7352678638816723,0.2272298276559859,0.0,1.7352678638816723,0.0
3,1,3,cifar100-cl4-task1-npz,0,0,5,4;1;2;3;0,1,freeze_P,0,0,0.20621931260229132,0.3150572831423895,0.1088379705400982,nan,nan,nan,nan,nan,0,"{""1"": 0.20621931260229132}","{""1"": 0.3150572831423895}","{""1"": 0.1088379705400982}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5257133706184056,0.20017890405839886,0.0,1.5257133706184056,0.0
4,1,4,cifar100-cl4-task1-npz,0,0,5,4;3;1;2;0,1,freeze_P,0,0,0.3150572831423895,0.34615384615384615,0.031096563011456635,nan,nan,nan,nan,nan,0,"{""1"": 0.3150572831423895}","{""1"": 0.34615384615384615}","{""1"": 0.031096563011456635}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.4028731997517117,0.14854515313248146,0.0,1.4028731997517117,0.0
5,1,5,cifar100-cl4-task1-npz,0,0,5,3;2;4;1;0,1,freeze_P,0,0,0.34615384615384615,0.3707037643207856,0.024549918166939466,nan,nan,nan,nan,nan,0,"{""1"": 0.34615384615384615}","{""1"": 0.3707037643207856}","{""1"": 0.024549918166939466}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3442293904082498,0.13453680558649778,0.0,1.3442293904082498,0.0
6,1,6,cifar100-cl4-task1-npz,0,0,5,4;0;3;2;1,1,freeze_P,0,0,0.3707037643207856,0.3944353518821604,0.02373158756137478,nan,nan,nan,nan,nan,0,"{""1"": 0.3707037643207856}","{""1"": 0.3944353518821604}","{""1"": 0.02373158756137478}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.3039226233972125,0.12474633941430285,0.0,1.3039226233972125,0.0
7,1,7,cifar100-cl4-task1-npz,0,0,5,3;2;1;4;0,1,freeze_P,0,0,0.3944353518821604,0.4067103109656301,0.012274959083469705,nan,nan,nan,nan,nan,0,"{""1"": 0.3944353518821604}","{""1"": 0.4067103109656301}","{""1"": 0.012274959083469705}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.2816771418737773,0.11415336300717874,0.0,1.2816771418737773,0.0
8,1,8,cifar100-cl4-task1-npz,0,0,5,3;1;2;0;4,1,freeze_P,0,0,0.4067103109656301,0.4198036006546645,0.013093289689034393,nan,nan,nan,nan,nan,0,"{""1"": 0.4067103109656301}","{""1"": 0.4198036006546645}","{""1"": 0.013093289689034393}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.2671870526370412,0.11078828956110917,0.0,1.2671870526370412,0.0
9,1,9,cifar100-cl4-task1-npz,0,0,5,0;2;3;4;1,1,freeze_P,0,0,0.4198036006546645,0.43126022913256956,0.011456628477905073,nan,nan,nan,nan,nan,0,"{""1"": 0.4198036006546645}","{""1"": 0.43126022913256956}","{""1"": 0.011456628477905073}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.2549097950720203,0.1113349319883928,0.0,1.2549097950720203,0.0
10,1,10,cifar100-cl4-task1-npz,0,0,5,1;4;0;3;2,1,freeze_P,0,0,0.43126022913256956,0.44353518821603927,0.012274959083469705,nan,nan,nan,nan,nan,0,"{""1"": 0.43126022913256956}","{""1"": 0.44353518821603927}","{""1"": 0.012274959083469705}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.2467603972967531,0.10322496566353796,0.0,1.2467603972967531,0.0
