global_round,task_idx,round_in_task,phase,scope,client_id,old_task_idx,old_dataset,exp_id,run_seed,lambda_max,opt_drift,batch_offsets,num_clients_used
201,2,1,before_local,global,-1,1,cifar100-cl4-task1-npz,C,0,3736.2549560546877,2.275757683442124,1;2;2;1;1,5
201,2,1,before_local,client,1,1,cifar100-cl4-task1-npz,C,0,4908.74658203125,2.275757683442124,1,1
201,2,1,before_local,client,0,1,cifar100-cl4-task1-npz,C,0,4247.962890625,2.275757683442124,2,1
201,2,1,before_local,client,4,1,cifar100-cl4-task1-npz,C,0,5351.14892578125,2.275757683442124,1,1
201,2,1,before_local,client,3,1,cifar100-cl4-task1-npz,C,0,5130.30078125,2.275757683442124,2,1
201,2,1,before_local,client,2,1,cifar100-cl4-task1-npz,C,0,2479.9736328125,2.275757683442124,4,1
201,2,1,after_local,client,1,1,cifar100-cl4-task1-npz,C,0,517.0604248046875,8.105916436022929,1,1
201,2,1,after_local,client,0,1,cifar100-cl4-task1-npz,C,0,831.6533203125,8.512771071697246,2,1
201,2,1,after_local,client,4,1,cifar100-cl4-task1-npz,C,0,726.080078125,8.982371508558142,1,1
201,2,1,after_local,client,3,1,cifar100-cl4-task1-npz,C,0,508.20147705078125,8.628139066611338,2,1
201,2,1,after_local,client,2,1,cifar100-cl4-task1-npz,C,0,154.4437713623047,7.749238668595924,4,1
201,2,1,after_agg,global,-1,1,cifar100-cl4-task1-npz,C,0,18.696070861816406,6.328334235289068,1;2;2;1;1,5
202,2,2,before_local,global,-1,1,cifar100-cl4-task1-npz,C,0,19.070947265625,6.328334235289068,0;1;3;0;0,5
202,2,2,before_local,client,0,1,cifar100-cl4-task1-npz,C,0,22.308013916015625,6.328334235289068,0,1
202,2,2,before_local,client,1,1,cifar100-cl4-task1-npz,C,0,18.762489318847656,6.328334235289068,2,1
202,2,2,before_local,client,3,1,cifar100-cl4-task1-npz,C,0,14.277585983276367,6.328334235289068,0,1
202,2,2,before_local,client,2,1,cifar100-cl4-task1-npz,C,0,21.026079177856445,6.328334235289068,0,1
202,2,2,before_local,client,4,1,cifar100-cl4-task1-npz,C,0,20.259016036987305,6.328334235289068,0,1
