global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
201,2,1,cifar100-cl4-task2-npz,1,1,cifar100-cl4-task1-npz,D,0,0.18218623481781376,0.31983805668016196,0.1376518218623482,247
201,2,1,cifar100-cl4-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.1376518218623482,0
201,2,1,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,D,0,0.371900826446281,0.5537190082644629,0.18181818181818188,242
201,2,1,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,0.18181818181818188,0
201,2,1,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,D,0,0.2391304347826087,0.3333333333333333,0.09420289855072461,138
201,2,1,cifar100-cl4-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.09420289855072461,0
201,2,1,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,D,0,0.21782178217821782,0.30198019801980197,0.08415841584158415,202
201,2,1,cifar100-cl4-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.08415841584158415,0
201,2,1,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,D,0,0.5267175572519084,0.5954198473282443,0.06870229007633588,393
201,2,1,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.06870229007633588,0
202,2,2,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,D,0,0.34297520661157027,0.45041322314049587,0.1074380165289256,242
202,2,2,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,0.1074380165289256,0
202,2,2,cifar100-cl4-task2-npz,1,1,cifar100-cl4-task1-npz,D,0,0.20242914979757085,0.3076923076923077,0.10526315789473686,247
202,2,2,cifar100-cl4-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.10526315789473686,0
202,2,2,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,D,0,0.23267326732673269,0.2722772277227723,0.03960396039603961,202
202,2,2,cifar100-cl4-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.03960396039603961,0
202,2,2,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,D,0,0.5063613231552163,0.5750636132315522,0.06870229007633588,393
202,2,2,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.06870229007633588,0
202,2,2,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,D,0,0.2318840579710145,0.2826086956521739,0.050724637681159396,138
202,2,2,cifar100-cl4-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.050724637681159396,0
203,2,3,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,D,0,0.2975206611570248,0.3181818181818182,0.020661157024793375,242
203,2,3,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,0.020661157024793375,0
203,2,3,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,D,0,0.5038167938931297,0.5521628498727735,0.04834605597964381,393
203,2,3,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.04834605597964381,0
203,2,3,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,D,0,0.21287128712871287,0.23267326732673269,0.01980198019801982,202
203,2,3,cifar100-cl4-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.01980198019801982,0
203,2,3,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,D,0,0.2028985507246377,0.2318840579710145,0.0289855072463768,138
203,2,3,cifar100-cl4-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.0289855072463768,0
203,2,3,cifar100-cl4-task2-npz,1,1,cifar100-cl4-task1-npz,D,0,0.19433198380566802,0.2591093117408907,0.06477732793522267,247
203,2,3,cifar100-cl4-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.06477732793522267,0
204,2,4,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,D,0,0.49363867684478374,0.5419847328244275,0.048346055979643754,393
204,2,4,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.048346055979643754,0
204,2,4,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,D,0,0.16831683168316833,0.15841584158415842,-0.00990099009900991,202
204,2,4,cifar100-cl4-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.00990099009900991,0
204,2,4,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,D,0,0.18115942028985507,0.18840579710144928,0.007246376811594207,138
204,2,4,cifar100-cl4-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.007246376811594207,0
204,2,4,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,D,0,0.2644628099173554,0.24793388429752067,-0.01652892561983471,242
204,2,4,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.01652892561983471,0
204,2,4,cifar100-cl4-task2-npz,1,1,cifar100-cl4-task1-npz,D,0,0.1700404858299595,0.18218623481781376,0.012145748987854255,247
204,2,4,cifar100-cl4-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.012145748987854255,0
205,2,5,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,D,0,0.18840579710144928,0.13768115942028986,-0.050724637681159424,138
205,2,5,cifar100-cl4-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.050724637681159424,0
205,2,5,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,D,0,0.13366336633663367,0.07425742574257425,-0.05940594059405942,202
205,2,5,cifar100-cl4-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.05940594059405942,0
205,2,5,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,D,0,0.46564885496183206,0.5190839694656488,0.05343511450381677,393
205,2,5,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.05343511450381677,0
205,2,5,cifar100-cl4-task2-npz,1,1,cifar100-cl4-task1-npz,D,0,0.16194331983805668,0.10121457489878542,-0.06072874493927126,247
205,2,5,cifar100-cl4-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.06072874493927126,0
205,2,5,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,D,0,0.23140495867768596,0.2024793388429752,-0.02892561983471076,242
205,2,5,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.02892561983471076,0
206,2,6,cifar100-cl4-task2-npz,4,1,cifar100-cl4-task1-npz,D,0,0.15942028985507245,0.10144927536231885,-0.0579710144927536,138
206,2,6,cifar100-cl4-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.0579710144927536,0
206,2,6,cifar100-cl4-task2-npz,2,1,cifar100-cl4-task1-npz,D,0,0.4351145038167939,0.4732824427480916,0.03816793893129772,393
206,2,6,cifar100-cl4-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.03816793893129772,0
206,2,6,cifar100-cl4-task2-npz,1,1,cifar100-cl4-task1-npz,D,0,0.15384615384615385,0.048582995951417005,-0.10526315789473685,247
206,2,6,cifar100-cl4-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.10526315789473685,0
206,2,6,cifar100-cl4-task2-npz,0,1,cifar100-cl4-task1-npz,D,0,0.2190082644628099,0.11983471074380166,-0.09917355371900825,242
206,2,6,cifar100-cl4-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.09917355371900825,0
206,2,6,cifar100-cl4-task2-npz,3,1,cifar100-cl4-task1-npz,D,0,0.10396039603960396,0.04950495049504951,-0.05445544554455445,202
