global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,cifar100-cl4-task1-npz,0,0,5,3;2;0;4;1,1,freeze_S,0,0,0.0,0.10229132569558101,0.10229132569558101,nan,nan,nan,nan,nan,0,"{""1"": 0.0}","{""1"": 0.10229132569558101}","{""1"": 0.10229132569558101}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.7862697815836714,0.7171094233615293,1.7862697815836714,0.0,0.9999999999993227
2,1,2,cifar100-cl4-task1-npz,0,0,5,1;0;2;4;3,1,freeze_S,0,0,0.10229132569558101,0.14238952536824878,0.04009819967266777,nan,nan,nan,nan,nan,0,"{""1"": 0.10229132569558101}","{""1"": 0.14238952536824878}","{""1"": 0.04009819967266777}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.6936287705630813,0.8066335308880601,2.6936287705630813,0.0,0.9999999999995867
3,1,3,cifar100-cl4-task1-npz,0,0,5,4;1;2;3;0,1,freeze_S,0,0,0.14238952536824878,0.18494271685761046,0.04255319148936168,nan,nan,nan,nan,nan,0,"{""1"": 0.14238952536824878}","{""1"": 0.18494271685761046}","{""1"": 0.04255319148936168}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.1464098769358815,0.6737571568565272,3.1464098769358815,0.0,0.9999999999996648
4,1,4,cifar100-cl4-task1-npz,0,0,5,4;3;1;2;0,1,freeze_S,0,0,0.18494271685761046,0.1734860883797054,-0.011456628477905073,nan,nan,nan,nan,nan,0,"{""1"": 0.18494271685761046}","{""1"": 0.1734860883797054}","{""1"": -0.011456628477905073}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.4420184939511196,0.5670746109636756,3.4420184939511196,0.0,0.9999999999997004
5,1,5,cifar100-cl4-task1-npz,0,0,5,3;2;4;1;0,1,freeze_S,0,0,0.1734860883797054,0.15548281505728315,-0.018003273322422242,nan,nan,nan,nan,nan,0,"{""1"": 0.1734860883797054}","{""1"": 0.15548281505728315}","{""1"": -0.018003273322422242}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.5392409827017035,0.3676403114526156,3.5392409827017035,0.0,0.999999999999714
6,1,6,cifar100-cl4-task1-npz,0,0,5,4;0;3;2;1,1,freeze_S,0,0,0.15548281505728315,0.1702127659574468,0.014729950900163657,nan,nan,nan,nan,nan,0,"{""1"": 0.15548281505728315}","{""1"": 0.1702127659574468}","{""1"": 0.014729950900163657}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.716354477266394,0.38803609506418135,3.716354477266394,0.0,0.9999999999997277
7,1,7,cifar100-cl4-task1-npz,0,0,5,3;2;1;4;0,1,freeze_S,0,0,0.1702127659574468,0.18330605564648117,0.013093289689034365,nan,nan,nan,nan,nan,0,"{""1"": 0.1702127659574468}","{""1"": 0.18330605564648117}","{""1"": 0.013093289689034365}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.9376522587217373,0.38248416296279986,3.9376522587217373,0.0,0.9999999999997435
8,1,8,cifar100-cl4-task1-npz,0,0,5,3;1;2;0;4,1,freeze_S,0,0,0.18330605564648117,0.19312602291325695,0.009819967266775781,nan,nan,nan,nan,nan,0,"{""1"": 0.18330605564648117}","{""1"": 0.19312602291325695}","{""1"": 0.009819967266775781}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.044400001614332,0.34028151151153085,4.044400001614332,0.0,0.9999999999997508
9,1,9,cifar100-cl4-task1-npz,0,0,5,0;2;3;4;1,1,freeze_S,0,0,0.19312602291325695,0.19312602291325695,0.0,nan,nan,nan,nan,nan,0,"{""1"": 0.19312602291325695}","{""1"": 0.19312602291325695}","{""1"": 0.0}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.031548062408577,0.22882394568975895,4.031548062408577,0.0,0.9999999999997511
10,1,10,cifar100-cl4-task1-npz,0,0,5,1;4;0;3;2,1,freeze_S,0,0,0.19312602291325695,0.20703764320785598,0.013911620294599025,nan,nan,nan,nan,nan,0,"{""1"": 0.19312602291325695}","{""1"": 0.20703764320785598}","{""1"": 0.013911620294599025}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.022972132524907,0.4012565598944555,4.022972132524907,0.0,0.9999999999997489
