global_round,task_idx,round_in_task,phase,scope,client_id,old_task_idx,old_dataset,exp_id,run_seed,lambda_max,opt_drift,batch_offsets,num_clients_used
201,2,1,before_local,global,-1,1,cifar100-cl4-task1-npz,D,0,518.3390625,6.896252330332316,1;2;2;1;1,5
201,2,1,before_local,client,1,1,cifar100-cl4-task1-npz,D,0,534.793701171875,8.678862964324084,1,1
201,2,1,before_local,client,0,1,cifar100-cl4-task1-npz,D,0,654.9116821289062,8.477713595517237,2,1
201,2,1,before_local,client,4,1,cifar100-cl4-task1-npz,D,0,513.1681518554688,7.637429035063148,1,1
201,2,1,before_local,client,3,1,cifar100-cl4-task1-npz,D,0,663.4166259765625,8.230035380290929,2,1
201,2,1,before_local,client,2,1,cifar100-cl4-task1-npz,D,0,664.9544067382812,8.847664010758221,4,1
201,2,1,after_local,client,1,1,cifar100-cl4-task1-npz,D,0,552.536376953125,8.823440578237943,1,1
201,2,1,after_local,client,0,1,cifar100-cl4-task1-npz,D,0,611.9066772460938,8.821501767421339,2,1
201,2,1,after_local,client,4,1,cifar100-cl4-task1-npz,D,0,543.9234008789062,7.9404445202827345,1,1
201,2,1,after_local,client,3,1,cifar100-cl4-task1-npz,D,0,685.4055786132812,8.442457649953909,2,1
201,2,1,after_local,client,2,1,cifar100-cl4-task1-npz,D,0,670.0618896484375,8.872912954016364,4,1
201,2,1,after_agg,global,-1,1,cifar100-cl4-task1-npz,D,0,559.132373046875,8.029885736510035,1;2;2;1;1,5
202,2,2,before_local,global,-1,1,cifar100-cl4-task1-npz,D,0,555.7652099609375,8.029885736510035,0;1;3;0;0,5
202,2,2,before_local,client,0,1,cifar100-cl4-task1-npz,D,0,576.615234375,8.954536473191009,0,1
202,2,2,before_local,client,1,1,cifar100-cl4-task1-npz,D,0,588.7620849609375,9.048956280794464,2,1
202,2,2,before_local,client,3,1,cifar100-cl4-task1-npz,D,0,638.42236328125,8.8158056674039,0,1
202,2,2,before_local,client,2,1,cifar100-cl4-task1-npz,D,0,641.8222045898438,9.289718309613791,0,1
202,2,2,before_local,client,4,1,cifar100-cl4-task1-npz,D,0,541.413818359375,8.36092412267087,0,1
202,2,2,after_local,client,0,1,cifar100-cl4-task1-npz,D,0,623.885498046875,9.96400266871351,0,1
202,2,2,after_local,client,1,1,cifar100-cl4-task1-npz,D,0,604.822509765625,9.650610601052431,2,1
202,2,2,after_local,client,3,1,cifar100-cl4-task1-npz,D,0,676.2471923828125,9.454236077202,0,1
202,2,2,after_local,client,2,1,cifar100-cl4-task1-npz,D,0,645.1080322265625,9.454967577720877,0,1
202,2,2,after_local,client,4,1,cifar100-cl4-task1-npz,D,0,587.7390747070312,9.358298110782457,0,1
202,2,2,after_agg,global,-1,1,cifar100-cl4-task1-npz,D,0,602.659375,9.106434997061932,0;1;3;0;0,5
203,2,3,before_local,global,-1,1,cifar100-cl4-task1-npz,D,0,635.1709716796875,9.106434997061932,2;0;4;2;1,5
203,2,3,before_local,client,0,1,cifar100-cl4-task1-npz,D,0,591.2328491210938,10.132726664536282,1,1
203,2,3,before_local,client,2,1,cifar100-cl4-task1-npz,D,0,627.6724853515625,9.889673075735281,1,1
203,2,3,before_local,client,3,1,cifar100-cl4-task1-npz,D,0,660.0521240234375,9.845903433540716,1,1
203,2,3,before_local,client,4,1,cifar100-cl4-task1-npz,D,0,637.6065673828125,9.612480244907745,1,1
203,2,3,before_local,client,1,1,cifar100-cl4-task1-npz,D,0,613.7454833984375,9.930937897643753,0,1
203,2,3,after_local,client,0,1,cifar100-cl4-task1-npz,D,0,691.8242797851562,11.33229196663422,1,1
