exp_code,summary_type,metric,G_start,P_start,value
A,start_state,U_norm,0.9157299234197432,0.8860025616054349,
A,start_state,U_P_norm,0.4092897346129018,0.3563688074532599,
A,start_state,U_S_norm,0.8035200706061079,0.8077113312524082,
A,start_state,U_P_ratio,0.5871398766943262,0.40970662401542746,
A,start_state,Loss_after,2.8176781376202897,2.3538325540224707,
A,start_state,TopEig_proj_ratio,0.20010260658733878,0.280749265788514,
A,pairwise,grad_alignment,,,0.8066292661619567
A,pairwise,update_alignment,,,0.8150111169640496
A,pairwise,risk_gap_loss_after_P_minus_G,,,-0.4638455835978189
A,pairwise,risk_gap_loss_delta_P_minus_G,,,0.5134581523471408
A,pairwise,top_eig_proj_gap_P_minus_G,,,0.0170707635544232
B,start_state,U_norm,0.8702496809036363,0.8702529968338576,
B,start_state,U_P_norm,0.4308038926012381,0.43080373540912675,
B,start_state,U_S_norm,0.743044476653102,0.7430482768345608,
B,start_state,U_P_ratio,0.6004134667246409,0.6004099779773401,
B,start_state,Loss_after,2.653142422835032,2.6531475120120573,
B,start_state,TopEig_proj_ratio,0.2151664409883359,0.23110271713707356,
B,pairwise,grad_alignment,,,1.0
B,pairwise,update_alignment,,,0.999999726137357
B,pairwise,risk_gap_loss_after_P_minus_G,,,5.089177025686984e-06
B,pairwise,risk_gap_loss_delta_P_minus_G,,,5.089177025709713e-06
B,pairwise,top_eig_proj_gap_P_minus_G,,,0.005093943603481768
