global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
101,2,1,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.9950980392156863,0.9950980392156863,0.0,408
101,2,1,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.0,0
102,2,2,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.02830188679245283,0.9827044025157232,0.9544025157232704,636
102,2,2,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.9544025157232704,0
103,2,3,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.10182370820668693,0.7781155015197568,0.6762917933130699,658
103,2,3,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.6762917933130699,0
104,2,4,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,A,0,0.152,0.832,0.6799999999999999,125
104,2,4,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,A,0,nan,nan,0.6799999999999999,0
105,2,5,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,A,0,0.92,0.92,0.0,125
105,2,5,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,A,0,nan,nan,0.0,0
106,2,6,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.8946078431372549,0.9779411764705882,0.08333333333333326,408
106,2,6,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.08333333333333326,0
107,2,7,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.0015723270440251573,0.9481132075471698,0.9465408805031446,636
107,2,7,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.9465408805031446,0
108,2,8,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.15441176470588236,0.9607843137254902,0.8063725490196079,408
108,2,8,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.8063725490196079,0
