global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,permuted-mnist-task1-npz,0,0,1,4,1,none,1,0,0.11963589076723016,0.22670134373645426,0.1070654529692241,nan,nan,nan,nan,nan,0,"{""1"": 0.11963589076723016}","{""1"": 0.22670134373645426}","{""1"": 0.1070654529692241}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.6787304469005524,0.0,1.7010853041334695,2.0692765874124164,0.63503414690384
2,1,2,permuted-mnist-task1-npz,0,0,1,0,1,none,1,0,0.22670134373645426,0.47854356306892065,0.2518422193324664,nan,nan,nan,nan,nan,0,"{""1"": 0.22670134373645426}","{""1"": 0.47854356306892065}","{""1"": 0.2518422193324664}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.2049533549303515,0.0,2.3344318359993426,3.4974363068128573,0.555162361851563
3,1,3,permuted-mnist-task1-npz,0,0,1,0,1,none,1,0,0.47854356306892065,0.564802774165583,0.08625921109666235,nan,nan,nan,nan,nan,0,"{""1"": 0.47854356306892065}","{""1"": 0.564802774165583}","{""1"": 0.08625921109666235}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.3826263085181214,0.0,0.6136064166151065,2.3022587368780814,0.257533636064181
4,1,4,permuted-mnist-task1-npz,0,0,1,3,1,none,1,0,0.564802774165583,0.3424360641525791,-0.2223667100130039,nan,nan,nan,nan,nan,0,"{""1"": 0.564802774165583}","{""1"": 0.3424360641525791}","{""1"": -0.2223667100130039}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.358361894806208,0.0,1.836763557299675,1.4792465857488981,0.7788302386262169
5,1,5,permuted-mnist-task1-npz,0,0,1,1,1,none,1,0,0.3424360641525791,0.2717815344603381,-0.07065452969224101,nan,nan,nan,nan,nan,0,"{""1"": 0.3424360641525791}","{""1"": 0.2717815344603381}","{""1"": -0.07065452969224101}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.195714823803193,0.0,2.58111732686905,1.8842575673224307,0.807680744114857
6,1,6,permuted-mnist-task1-npz,0,0,1,2,1,none,1,0,0.2717815344603381,0.28261811876896403,0.01083658430862594,nan,nan,nan,nan,nan,0,"{""1"": 0.2717815344603381}","{""1"": 0.28261811876896403}","{""1"": 0.01083658430862594}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.076307069408513,0.0,1.568950218744821,1.3599434758755036,0.7556445970157099
7,1,7,permuted-mnist-task1-npz,0,0,1,0,1,none,1,0,0.28261811876896403,0.6315561335067187,0.34893801473775465,nan,nan,nan,nan,nan,0,"{""1"": 0.28261811876896403}","{""1"": 0.6315561335067187}","{""1"": 0.34893801473775465}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.454326780230852,0.0,2.531310098429123,2.3504983918758144,0.7327940462712168
8,1,8,permuted-mnist-task1-npz,0,0,1,1,1,none,1,0,0.6315561335067187,0.4885132206328565,-0.14304291287386217,nan,nan,nan,nan,nan,0,"{""1"": 0.6315561335067187}","{""1"": 0.4885132206328565}","{""1"": -0.14304291287386217}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2251994403958864,0.0,1.8647094786895635,1.2142368424749193,0.8379965610439728
9,1,9,permuted-mnist-task1-npz,0,0,1,3,1,none,1,0,0.4885132206328565,0.4009536194191591,-0.08755960121369744,nan,nan,nan,nan,nan,0,"{""1"": 0.4885132206328565}","{""1"": 0.4009536194191591}","{""1"": -0.08755960121369744}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.2935757117500413,0.0,1.9932642401752707,1.1346308714151088,0.8690640688087439
10,1,10,permuted-mnist-task1-npz,0,0,1,1,1,none,1,0,0.4009536194191591,0.4633723450368444,0.0624187256176853,nan,nan,nan,nan,nan,0,"{""1"": 0.4009536194191591}","{""1"": 0.4633723450368444}","{""1"": 0.0624187256176853}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9819892599178606,0.0,1.7414173510930522,0.9464391347264789,0.878620982620432
