global_round,task_idx,round_in_task,phase,scope,client_id,old_task_idx,old_dataset,exp_id,run_seed,lambda_max,opt_drift,batch_offsets,num_clients_used
101,2,1,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,82.06234946921468,1.923922858716553,1;0;2;4;3,5
101,2,1,before_local,client,2,1,permuted-mnist-task1-npz,A,0,0.01132685411721468,1.923922858716553,4,1
101,2,1,after_local,client,2,1,permuted-mnist-task1-npz,A,0,7.0398759841918945,4.355575014109594,4,1
101,2,1,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,31.04169979095459,4.355575014109594,1;0;2;4;3,5
102,2,2,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,31.09679651260376,4.355575014109594,2;1;3;5;2,5
102,2,2,before_local,client,3,1,permuted-mnist-task1-npz,A,0,20.385154724121094,4.139419605583427,7,1
102,2,2,after_local,client,3,1,permuted-mnist-task1-npz,A,0,32.838653564453125,4.978718697180202,7,1
102,2,2,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,64.8139030456543,4.978718697180202,2;1;3;5;2,5
103,2,3,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,66.87080230712891,4.978718697180202,3;0;4;6;1,5
103,2,3,before_local,client,0,1,permuted-mnist-task1-npz,A,0,34.77516174316406,4.735494210160142,1,1
103,2,3,after_local,client,0,1,permuted-mnist-task1-npz,A,0,19.84364128112793,6.745652986484074,1,1
103,2,3,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,34.05662460327149,6.745652986484074,3;0;4;6;1,5
104,2,4,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,36.50736770629883,6.745652986484074,4;1;0;7;0,5
104,2,4,before_local,client,1,1,permuted-mnist-task1-npz,A,0,13.65169906616211,6.863362809295304,1,1
104,2,4,after_local,client,1,1,permuted-mnist-task1-npz,A,0,9.351083755493164,7.064793271900322,1,1
104,2,4,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,33.47871150970459,7.064793271900322,4;1;0;7;0,5
105,2,5,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,33.4204008102417,7.064793271900322,5;0;1;0;5,5
105,2,5,before_local,client,1,1,permuted-mnist-task1-npz,A,0,15.45233154296875,7.064793271900322,0,1
105,2,5,after_local,client,1,1,permuted-mnist-task1-npz,A,0,16.844938278198242,7.224978908030369,0,1
105,2,5,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,42.40124988555908,7.224978908030369,5;0;1;0;5,5
106,2,6,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,42.1856409072876,7.224978908030369,6;1;2;1;4,5
106,2,6,before_local,client,2,1,permuted-mnist-task1-npz,A,0,6.578531265258789,7.266549704271426,4,1
106,2,6,after_local,client,2,1,permuted-mnist-task1-npz,A,0,7.296436309814453,7.443391494061076,4,1
106,2,6,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,32.38562774658203,7.443391494061076,6;1;2;1;4,5
107,2,7,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,32.99765844345093,7.443391494061076,7;0;3;2;3,5
107,2,7,before_local,client,3,1,permuted-mnist-task1-npz,A,0,28.649658203125,7.304375401117675,6,1
107,2,7,after_local,client,3,1,permuted-mnist-task1-npz,A,0,19.640792846679688,7.415577958709719,6,1
107,2,7,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,55.799095153808594,7.415577958709719,7;0;3;2;3,5
108,2,8,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,55.47664947509766,7.415577958709719,0;1;4;3;2,5
108,2,8,before_local,client,2,1,permuted-mnist-task1-npz,A,0,8.899665832519531,7.53093161246305,1,1
108,2,8,after_local,client,2,1,permuted-mnist-task1-npz,A,0,9.56524658203125,7.58036979580041,1,1
108,2,8,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,43.93018093109131,7.58036979580041,0;1;4;3;2,5
109,2,9,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,43.608511734008786,7.58036979580041,1;0;0;4;1,5
109,2,9,before_local,client,4,1,permuted-mnist-task1-npz,A,0,29.33849334716797,7.392262053693273,5,1
109,2,9,after_local,client,4,1,permuted-mnist-task1-npz,A,0,18.138883590698242,8.22726277597788,5,1
109,2,9,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,55.66643295288086,8.22726277597788,1;0;0;4;1,5
110,2,10,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,56.13164596557617,8.22726277597788,2;1;1;5;0,5
110,2,10,before_local,client,2,1,permuted-mnist-task1-npz,A,0,6.093148231506348,8.377242740810845,3,1
