global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
101,2,1,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.9852941176470589,0.9852941176470589,0.0,408
101,2,1,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
102,2,2,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.22641509433962265,0.22641509433962265,0.0,636
102,2,2,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
103,2,3,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.45288753799392095,0.45288753799392095,0.0,658
103,2,3,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
104,2,4,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.464,0.464,0.0,125
104,2,4,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
105,2,5,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.808,0.808,0.0,125
105,2,5,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
106,2,6,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.8946078431372549,0.8946078431372549,0.0,408
106,2,6,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
107,2,7,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.0440251572327044,0.0440251572327044,0.0,636
107,2,7,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
108,2,8,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.1323529411764706,0.1323529411764706,0.0,408
108,2,8,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
109,2,9,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.08333333333333333,0.08333333333333333,0.0,480
109,2,9,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
110,2,10,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.33578431372549017,0.33578431372549017,0.0,408
110,2,10,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
111,2,11,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.022796352583586626,0.022796352583586626,0.0,658
111,2,11,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
112,2,12,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.18238993710691823,0.18238993710691823,0.0,636
112,2,12,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
113,2,13,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.9559748427672956,0.9559748427672956,0.0,636
113,2,13,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
114,2,14,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.44362745098039214,0.44362745098039214,0.0,408
114,2,14,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
115,2,15,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.15833333333333333,0.15833333333333333,0.0,480
115,2,15,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
116,2,16,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.6372549019607843,0.6372549019607843,0.0,408
116,2,16,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
117,2,17,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.01729559748427673,0.01729559748427673,0.0,636
117,2,17,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
118,2,18,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.10790273556231003,0.10790273556231003,0.0,658
118,2,18,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
119,2,19,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.6063829787234043,0.6063829787234043,0.0,658
119,2,19,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
120,2,20,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.14150943396226415,0.14150943396226415,0.0,636
120,2,20,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
121,2,21,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.07291666666666667,0.07291666666666667,0.0,480
121,2,21,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
122,2,22,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.21323529411764705,0.21323529411764705,0.0,408
122,2,22,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
123,2,23,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.0330188679245283,0.0330188679245283,0.0,636
123,2,23,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
124,2,24,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.576,0.576,0.0,125
124,2,24,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
125,2,25,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.03930817610062893,0.03930817610062893,0.0,636
125,2,25,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
126,2,26,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.37254901960784315,0.37254901960784315,0.0,408
126,2,26,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
127,2,27,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.704,0.704,0.0,125
127,2,27,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
128,2,28,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.4027355623100304,0.4027355623100304,0.0,658
128,2,28,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
129,2,29,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.7051671732522796,0.7051671732522796,0.0,658
129,2,29,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
130,2,30,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.5020833333333333,0.5020833333333333,0.0,480
130,2,30,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
131,2,31,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.42892156862745096,0.42892156862745096,0.0,408
131,2,31,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
132,2,32,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.35833333333333334,0.35833333333333334,0.0,480
132,2,32,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
133,2,33,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.488,0.488,0.0,125
133,2,33,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
134,2,34,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.3981762917933131,0.3981762917933131,0.0,658
134,2,34,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
135,2,35,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.32,0.32,0.0,125
135,2,35,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
136,2,36,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.648,0.648,0.0,125
136,2,36,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
137,2,37,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.139937106918239,0.139937106918239,0.0,636
137,2,37,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
138,2,38,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.9292452830188679,0.9292452830188679,0.0,636
138,2,38,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
139,2,39,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.8742138364779874,0.8742138364779874,0.0,636
139,2,39,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
140,2,40,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.48,0.48,0.0,125
140,2,40,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
141,2,41,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.728,0.728,0.0,125
141,2,41,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
142,2,42,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.8333333333333334,0.8333333333333334,0.0,408
142,2,42,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
143,2,43,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.02830188679245283,0.02830188679245283,0.0,636
143,2,43,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
144,2,44,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.47549019607843135,0.47549019607843135,0.0,408
144,2,44,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
145,2,45,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.23100303951367782,0.23100303951367782,0.0,658
145,2,45,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
146,2,46,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.1871069182389937,0.1871069182389937,0.0,636
146,2,46,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
147,2,47,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.4362745098039216,0.4362745098039216,0.0,408
147,2,47,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
148,2,48,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.08958333333333333,0.08958333333333333,0.0,480
148,2,48,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
149,2,49,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.5958333333333333,0.5958333333333333,0.0,480
149,2,49,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
150,2,50,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.6208333333333333,0.6208333333333333,0.0,480
150,2,50,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
151,2,51,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.6145833333333334,0.6145833333333334,0.0,480
151,2,51,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
152,2,52,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.06289308176100629,0.06289308176100629,0.0,636
152,2,52,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
153,2,53,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.144,0.144,0.0,125
153,2,53,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
154,2,54,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.1884498480243161,0.1884498480243161,0.0,658
154,2,54,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
155,2,55,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.4726443768996961,0.4726443768996961,0.0,658
155,2,55,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
156,2,56,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.45416666666666666,0.45416666666666666,0.0,480
156,2,56,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
157,2,57,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.32,0.32,0.0,125
157,2,57,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
158,2,58,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.3221884498480243,0.3221884498480243,0.0,658
158,2,58,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
159,2,59,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.5851063829787234,0.5851063829787234,0.0,658
