global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,permuted-mnist-task1-npz,0,0,1,4,0,none,1,0,0.11963589076723016,0.22756827048114434,0.10793237971391417,nan,nan,nan,nan,nan,0,"{""1"": 0.11963589076723016}","{""1"": 0.22756827048114434}","{""1"": 0.10793237971391417}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.789680091014902,0.0,1.7319532274456717,2.1869277601570274,0.6208429536502718
2,1,2,permuted-mnist-task1-npz,0,0,1,0,0,none,1,0,0.22756827048114434,0.4503684438664933,0.22280017338534894,nan,nan,nan,nan,nan,0,"{""1"": 0.22756827048114434}","{""1"": 0.4503684438664933}","{""1"": 0.22280017338534894}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.109450582073905,0.0,2.124743558332376,3.5175344913493927,0.517038352426073
3,1,3,permuted-mnist-task1-npz,0,0,1,0,0,none,1,0,0.4503684438664933,0.4967490247074122,0.04638058084091895,nan,nan,nan,nan,nan,0,"{""1"": 0.4503684438664933}","{""1"": 0.4967490247074122}","{""1"": 0.04638058084091895}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.491846906249714,0.0,0.7016273691962721,2.3910290753106684,0.281569211750635
4,1,4,permuted-mnist-task1-npz,0,0,1,3,0,none,1,0,0.4967490247074122,0.39358474208929345,-0.10316428261811877,nan,nan,nan,nan,nan,0,"{""1"": 0.4967490247074122}","{""1"": 0.39358474208929345}","{""1"": -0.10316428261811877}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.3042730112257934,0.0,1.1903831278807788,1.9729830508953592,0.5165981296838692
5,1,5,permuted-mnist-task1-npz,0,0,1,1,0,none,1,0,0.39358474208929345,0.19635890767230169,-0.19722583441699176,nan,nan,nan,nan,nan,0,"{""1"": 0.39358474208929345}","{""1"": 0.19635890767230169}","{""1"": -0.19722583441699176}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.692167012376038,0.0,1.889175994719888,4.2950489325505945,0.4026233486013186
6,1,6,permuted-mnist-task1-npz,0,0,1,2,0,none,1,0,0.19635890767230169,0.19635890767230169,0.0,nan,nan,nan,nan,nan,0,"{""1"": 0.19635890767230169}","{""1"": 0.19635890767230169}","{""1"": 0.0}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.347550160856123,0.0,1.273016722615561,1.972414809738749,0.5422745566172545
7,1,7,permuted-mnist-task1-npz,0,0,1,0,0,none,1,0,0.19635890767230169,0.46033810143042914,0.26397919375812745,nan,nan,nan,nan,nan,0,"{""1"": 0.19635890767230169}","{""1"": 0.46033810143042914}","{""1"": 0.26397919375812745}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.806600970233248,0.0,1.8697354955568406,5.497336082519288,0.32200171927457455
8,1,8,permuted-mnist-task1-npz,0,0,1,1,0,none,1,0,0.46033810143042914,0.2566103164282618,-0.20372778500216732,nan,nan,nan,nan,nan,0,"{""1"": 0.46033810143042914}","{""1"": 0.2566103164282618}","{""1"": -0.20372778500216732}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.6787867180733236,0.0,1.051320182405744,2.463863664043204,0.3924613241182178
9,1,9,permuted-mnist-task1-npz,0,0,1,3,0,none,1,0,0.2566103164282618,0.3025574338968357,0.045947117468573884,nan,nan,nan,nan,nan,0,"{""1"": 0.2566103164282618}","{""1"": 0.3025574338968357}","{""1"": 0.045947117468573884}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.1330404198707535,0.0,1.5179971928859535,2.7407347180882486,0.48451248290888327
10,1,10,permuted-mnist-task1-npz,0,0,1,1,0,none,1,0,0.3025574338968357,0.26527958387516254,-0.037277850021673165,nan,nan,nan,nan,nan,0,"{""1"": 0.3025574338968357}","{""1"": 0.26527958387516254}","{""1"": -0.037277850021673165}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6944158244438614,0.0,1.6700023966332331,3.2954211080134317,0.4520342257044589
