global_round,task_idx,round_in_task,phase,scope,client_id,old_task_idx,old_dataset,exp_id,run_seed,lambda_max,opt_drift,batch_offsets,num_clients_used
101,2,1,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,26.346616888046263,5.068686972855662,1;0;2;4;3,5
101,2,1,before_local,client,2,1,permuted-mnist-task1-npz,B,0,1.5138609409332275,5.068686972855662,4,1
101,2,1,after_local,client,2,1,permuted-mnist-task1-npz,B,0,8.70562744140625,6.237315896858689,4,1
101,2,1,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,44.20737838745117,6.237315896858689,1;0;2;4;3,5
102,2,2,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,41.463859462738036,6.237315896858689,2;1;3;5;2,5
102,2,2,before_local,client,3,1,permuted-mnist-task1-npz,B,0,75.36841583251953,6.237315896858689,7,1
102,2,2,after_local,client,3,1,permuted-mnist-task1-npz,B,0,7.156931400299072,7.284887522120903,7,1
102,2,2,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,45.47075519561768,7.284887522120903,2;1;3;5;2,5
103,2,3,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,45.054971885681155,7.284887522120903,3;0;4;6;1,5
103,2,3,before_local,client,0,1,permuted-mnist-task1-npz,B,0,46.571773529052734,7.284887522120903,1,1
103,2,3,after_local,client,0,1,permuted-mnist-task1-npz,B,0,20.914226531982422,8.961603249693566,1,1
103,2,3,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,28.055802154541016,8.961603249693566,3;0;4;6;1,5
104,2,4,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,27.20401268005371,8.961603249693566,4;1;0;7;0,5
104,2,4,before_local,client,1,1,permuted-mnist-task1-npz,B,0,33.10226821899414,8.961603249693566,1,1
104,2,4,after_local,client,1,1,permuted-mnist-task1-npz,B,0,9.001445770263672,9.365944548441908,1,1
104,2,4,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,22.074217224121092,9.365944548441908,4;1;0;7;0,5
105,2,5,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,22.527287673950195,9.365944548441908,5;0;1;0;5,5
105,2,5,before_local,client,1,1,permuted-mnist-task1-npz,B,0,8.917465209960938,9.365944548441908,0,1
105,2,5,after_local,client,1,1,permuted-mnist-task1-npz,B,0,11.73326301574707,9.567844646443586,0,1
105,2,5,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,23.995109176635744,9.567844646443586,5;0;1;0;5,5
106,2,6,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,23.83387680053711,9.567844646443586,6;1;2;1;4,5
106,2,6,before_local,client,2,1,permuted-mnist-task1-npz,B,0,8.748542785644531,9.567844646443586,4,1
106,2,6,after_local,client,2,1,permuted-mnist-task1-npz,B,0,5.646895885467529,9.779231960171842,4,1
106,2,6,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,25.723938179016113,9.779231960171842,6;1;2;1;4,5
107,2,7,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,27.485159969329835,9.779231960171842,7;0;3;2;3,5
107,2,7,before_local,client,3,1,permuted-mnist-task1-npz,B,0,42.719146728515625,9.779231960171842,6,1
107,2,7,after_local,client,3,1,permuted-mnist-task1-npz,B,0,31.68431854248047,10.211918225578925,6,1
107,2,7,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,82.76255378723144,10.211918225578925,7;0;3;2;3,5
108,2,8,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,78.60003814697265,10.211918225578925,0;1;4;3;2,5
108,2,8,before_local,client,2,1,permuted-mnist-task1-npz,B,0,153.3473663330078,10.211918225578925,1,1
108,2,8,after_local,client,2,1,permuted-mnist-task1-npz,B,0,16.753549575805664,11.03562277828915,1,1
