global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
101,2,1,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,C,0,0.9926470588235294,0.9926470588235294,0.0,408
101,2,1,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
102,2,2,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,C,0,0.26572327044025157,0.26572327044025157,0.0,636
102,2,2,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
103,2,3,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,C,0,0.15045592705167174,0.15045592705167174,0.0,658
103,2,3,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
104,2,4,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,C,0,0.088,0.088,0.0,125
104,2,4,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
105,2,5,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,C,0,0.912,0.912,0.0,125
105,2,5,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
106,2,6,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,C,0,0.9019607843137255,0.9019607843137255,0.0,408
106,2,6,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
107,2,7,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,C,0,0.0110062893081761,0.0110062893081761,0.0,636
107,2,7,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
108,2,8,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,C,0,0.049019607843137254,0.049019607843137254,0.0,408
108,2,8,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
109,2,9,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,C,0,0.2833333333333333,0.2833333333333333,0.0,480
109,2,9,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
110,2,10,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,C,0,0.2696078431372549,0.2696078431372549,0.0,408
110,2,10,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
111,2,11,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,C,0,0.05319148936170213,0.05319148936170213,0.0,658
111,2,11,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
112,2,12,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,C,0,0.18553459119496854,0.18553459119496854,0.0,636
112,2,12,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
113,2,13,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,C,0,0.9732704402515723,0.9732704402515723,0.0,636
113,2,13,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
114,2,14,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,C,0,0.16911764705882354,0.16911764705882354,0.0,408
114,2,14,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
115,2,15,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,C,0,0.3416666666666667,0.3416666666666667,0.0,480
115,2,15,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
116,2,16,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,C,0,0.3553921568627451,0.3553921568627451,0.0,408
116,2,16,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
117,2,17,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,C,0,0.06918238993710692,0.06918238993710692,0.0,636
117,2,17,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
118,2,18,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,C,0,0.18693009118541035,0.18693009118541035,0.0,658
118,2,18,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
119,2,19,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,C,0,0.7036474164133738,0.7036474164133738,0.0,658
119,2,19,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
120,2,20,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,C,0,0.13836477987421383,0.13836477987421383,0.0,636
120,2,20,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
121,2,21,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,C,0,0.34791666666666665,0.34791666666666665,0.0,480
121,2,21,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
122,2,22,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,C,0,0.2647058823529412,0.2647058823529412,0.0,408
122,2,22,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
123,2,23,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,C,0,0.040880503144654086,0.040880503144654086,0.0,636
123,2,23,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
124,2,24,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,C,0,0.152,0.152,0.0,125
124,2,24,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
125,2,25,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,C,0,0.39937106918238996,0.39937106918238996,0.0,636
125,2,25,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
126,2,26,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,C,0,0.75,0.75,0.0,408
126,2,26,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
127,2,27,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,C,0,0.784,0.784,0.0,125
127,2,27,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
128,2,28,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,C,0,0.45440729483282677,0.45440729483282677,0.0,658
128,2,28,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
129,2,29,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,C,0,0.668693009118541,0.668693009118541,0.0,658
129,2,29,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
130,2,30,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,C,0,0.4708333333333333,0.4708333333333333,0.0,480
130,2,30,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
