global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,permuted-mnist-task1-npz,0,0,1,4,1,freeze_P,0,0,0.11963589076723016,0.18985695708712613,0.07022106631989597,nan,nan,nan,nan,nan,0,"{""1"": 0.11963589076723016}","{""1"": 0.18985695708712613}","{""1"": 0.07022106631989597}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.282647040069018,0.0,0.0,2.282647040069018,0.0
2,1,2,permuted-mnist-task1-npz,0,0,1,0,1,freeze_P,0,0,0.18985695708712613,0.32986562635457306,0.14000866926744693,nan,nan,nan,nan,nan,0,"{""1"": 0.18985695708712613}","{""1"": 0.32986562635457306}","{""1"": 0.14000866926744693}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.025618094653192,0.0,0.0,4.025618094653192,0.0
3,1,3,permuted-mnist-task1-npz,0,0,1,0,1,freeze_P,0,0,0.32986562635457306,0.46857390550498484,0.13870827915041178,nan,nan,nan,nan,nan,0,"{""1"": 0.32986562635457306}","{""1"": 0.46857390550498484}","{""1"": 0.13870827915041178}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.567779888761429,0.0,0.0,2.567779888761429,0.0
4,1,4,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.46857390550498484,0.306458604247941,-0.16211530125704382,nan,nan,nan,nan,nan,0,"{""1"": 0.46857390550498484}","{""1"": 0.306458604247941}","{""1"": -0.16211530125704382}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.991024700085268,0.0,0.0,1.991024700085268,0.0
5,1,5,permuted-mnist-task1-npz,0,0,1,1,1,freeze_P,0,0,0.306458604247941,0.19635890767230169,-0.11009969657563934,nan,nan,nan,nan,nan,0,"{""1"": 0.306458604247941}","{""1"": 0.19635890767230169}","{""1"": -0.11009969657563934}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.253200930979886,0.0,0.0,4.253200930979886,0.0
6,1,6,permuted-mnist-task1-npz,0,0,1,2,1,freeze_P,0,0,0.19635890767230169,0.19635890767230169,0.0,nan,nan,nan,nan,nan,0,"{""1"": 0.19635890767230169}","{""1"": 0.19635890767230169}","{""1"": 0.0}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5070504636626445,0.0,0.0,1.5070504636626445,0.0
7,1,7,permuted-mnist-task1-npz,0,0,1,0,1,freeze_P,0,0,0.19635890767230169,0.46553966189856955,0.26918075422626786,nan,nan,nan,nan,nan,0,"{""1"": 0.19635890767230169}","{""1"": 0.46553966189856955}","{""1"": 0.26918075422626786}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.892220174521317,0.0,0.0,4.892220174521317,0.0
8,1,8,permuted-mnist-task1-npz,0,0,1,1,1,freeze_P,0,0,0.46553966189856955,0.258344169917642,-0.20719549198092757,nan,nan,nan,nan,nan,0,"{""1"": 0.46553966189856955}","{""1"": 0.258344169917642}","{""1"": -0.20719549198092757}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.818762979667874,0.0,0.0,2.818762979667874,0.0
9,1,9,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.258344169917642,0.3016905071521456,0.04334633723450365,nan,nan,nan,nan,nan,0,"{""1"": 0.258344169917642}","{""1"": 0.3016905071521456}","{""1"": 0.04334633723450365}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.4360408716505253,0.0,0.0,3.4360408716505253,0.0
10,1,10,permuted-mnist-task1-npz,0,0,1,1,1,freeze_P,0,0,0.3016905071521456,0.25574338968357174,-0.045947117468573884,nan,nan,nan,nan,nan,0,"{""1"": 0.3016905071521456}","{""1"": 0.25574338968357174}","{""1"": -0.045947117468573884}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.367529638171661,0.0,0.0,3.367529638171661,0.0
11,1,11,permuted-mnist-task1-npz,0,0,1,4,1,freeze_P,0,0,0.25574338968357174,0.4044213263979194,0.14867793671434765,nan,nan,nan,nan,nan,0,"{""1"": 0.25574338968357174}","{""1"": 0.4044213263979194}","{""1"": 0.14867793671434765}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0142682184511727,0.0,0.0,3.0142682184511727,0.0
12,1,12,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.4044213263979194,0.3025574338968357,-0.10186389250108369,nan,nan,nan,nan,nan,0,"{""1"": 0.4044213263979194}","{""1"": 0.3025574338968357}","{""1"": -0.10186389250108369}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.625580337845602,0.0,0.0,3.625580337845602,0.0
13,1,13,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.3025574338968357,0.3016905071521456,-0.0008669267446900775,nan,nan,nan,nan,nan,0,"{""1"": 0.3025574338968357}","{""1"": 0.3016905071521456}","{""1"": -0.0008669267446900775}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.5136211973903702,0.0,0.0,0.5136211973903702,0.0
14,1,14,permuted-mnist-task1-npz,0,0,1,4,1,freeze_P,0,0,0.3016905071521456,0.4282618118768964,0.12657130472475075,nan,nan,nan,nan,nan,0,"{""1"": 0.3016905071521456}","{""1"": 0.4282618118768964}","{""1"": 0.12657130472475075}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.162592568939769,0.0,0.0,4.162592568939769,0.0
15,1,15,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.4282618118768964,0.306458604247941,-0.12180320762895536,nan,nan,nan,nan,nan,0,"{""1"": 0.4282618118768964}","{""1"": 0.306458604247941}","{""1"": -0.12180320762895536}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.074733461409073,0.0,0.0,3.074733461409073,0.0
16,1,16,permuted-mnist-task1-npz,0,0,1,0,1,freeze_P,0,0,0.306458604247941,0.6241872561768531,0.3177286519289121,nan,nan,nan,nan,nan,0,"{""1"": 0.306458604247941}","{""1"": 0.6241872561768531}","{""1"": 0.3177286519289121}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.1380181809832286,0.0,0.0,3.1380181809832286,0.0
17,1,17,permuted-mnist-task1-npz,0,0,1,4,1,freeze_P,0,0,0.6241872561768531,0.46033810143042914,-0.16384915474642398,nan,nan,nan,nan,nan,0,"{""1"": 0.6241872561768531}","{""1"": 0.46033810143042914}","{""1"": -0.16384915474642398}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9925407656269138,0.0,0.0,1.9925407656269138,0.0
18,1,18,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.46033810143042914,0.3493714781100997,-0.11096662332032942,nan,nan,nan,nan,nan,0,"{""1"": 0.46033810143042914}","{""1"": 0.3493714781100997}","{""1"": -0.11096662332032942}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.860146495960841,0.0,0.0,2.860146495960841,0.0
19,1,19,permuted-mnist-task1-npz,0,0,1,0,1,freeze_P,0,0,0.3493714781100997,0.6259211096662332,0.27654963155613344,nan,nan,nan,nan,nan,0,"{""1"": 0.3493714781100997}","{""1"": 0.6259211096662332}","{""1"": 0.27654963155613344}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.228642943491686,0.0,0.0,3.228642943491686,0.0
20,1,20,permuted-mnist-task1-npz,0,0,1,1,1,freeze_P,0,0,0.6259211096662332,0.34893801473775465,-0.2769830949284785,nan,nan,nan,nan,nan,0,"{""1"": 0.6259211096662332}","{""1"": 0.34893801473775465}","{""1"": -0.2769830949284785}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7983689839981345,0.0,0.0,2.7983689839981345,0.0
21,1,21,permuted-mnist-task1-npz,0,0,1,0,1,freeze_P,0,0,0.34893801473775465,0.6649328131772865,0.3159947984395318,nan,nan,nan,nan,nan,0,"{""1"": 0.34893801473775465}","{""1"": 0.6649328131772865}","{""1"": 0.3159947984395318}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.642001051319307,0.0,0.0,2.642001051319307,0.0
22,1,22,permuted-mnist-task1-npz,0,0,1,4,1,freeze_P,0,0,0.6649328131772865,0.5361941915908106,-0.12873862158647587,nan,nan,nan,nan,nan,0,"{""1"": 0.6649328131772865}","{""1"": 0.5361941915908106}","{""1"": -0.12873862158647587}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9800043959530058,0.0,0.0,1.9800043959530058,0.0
23,1,23,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.5361941915908106,0.3558734286952753,-0.18032076289553534,nan,nan,nan,nan,nan,0,"{""1"": 0.5361941915908106}","{""1"": 0.3558734286952753}","{""1"": -0.18032076289553534}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.474398608140246,0.0,0.0,2.474398608140246,0.0
24,1,24,permuted-mnist-task1-npz,0,0,1,4,1,freeze_P,0,0,0.3558734286952753,0.553532726484612,0.19765929778933677,nan,nan,nan,nan,nan,0,"{""1"": 0.3558734286952753}","{""1"": 0.553532726484612}","{""1"": 0.19765929778933677}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.6823371321963916,0.0,0.0,3.6823371321963916,0.0
25,1,25,permuted-mnist-task1-npz,0,0,1,1,1,freeze_P,0,0,0.553532726484612,0.4039878630255743,-0.14954486345903772,nan,nan,nan,nan,nan,0,"{""1"": 0.553532726484612}","{""1"": 0.4039878630255743}","{""1"": -0.14954486345903772}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.1962252160660123,0.0,0.0,2.1962252160660123,0.0
26,1,26,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.4039878630255743,0.3385348938014738,-0.06545296922410054,nan,nan,nan,nan,nan,0,"{""1"": 0.4039878630255743}","{""1"": 0.3385348938014738}","{""1"": -0.06545296922410054}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.43243814655327,0.0,0.0,3.43243814655327,0.0
27,1,27,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.3385348938014738,0.3563068920676203,0.017771998266146505,nan,nan,nan,nan,nan,0,"{""1"": 0.3385348938014738}","{""1"": 0.3563068920676203}","{""1"": 0.017771998266146505}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.5242449251093474,0.0,0.0,0.5242449251093474,0.0
28,1,28,permuted-mnist-task1-npz,0,0,1,3,1,freeze_P,0,0,0.3563068920676203,0.3550065019505852,-0.0013003901170350884,nan,nan,nan,nan,nan,0,"{""1"": 0.3563068920676203}","{""1"": 0.3550065019505852}","{""1"": -0.0013003901170350884}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.2540137768354557,0.0,0.0,0.2540137768354557,0.0
