global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,permuted-mnist-task1-npz,0,0,1,4,1,freeze_S,0,0,0.11963589076723016,0.16124837451235371,0.04161248374512355,nan,nan,nan,nan,nan,0,"{""1"": 0.11963589076723016}","{""1"": 0.16124837451235371}","{""1"": 0.04161248374512355}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.163878780788089,0.0,2.163878780788089,0.0,0.9999999999995378
2,1,2,permuted-mnist-task1-npz,0,0,1,0,1,freeze_S,0,0,0.16124837451235371,0.199826614651062,0.03857824013870828,nan,nan,nan,nan,nan,0,"{""1"": 0.16124837451235371}","{""1"": 0.199826614651062}","{""1"": 0.03857824013870828}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.0480598493429714,0.0,3.0480598493429714,0.0,0.9999999999996719
3,1,3,permuted-mnist-task1-npz,0,0,1,0,1,freeze_S,0,0,0.199826614651062,0.199826614651062,0.0,nan,nan,nan,nan,nan,0,"{""1"": 0.199826614651062}","{""1"": 0.199826614651062}","{""1"": 0.0}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5421447775043235,0.0,1.5421447775043235,0.0,0.9999999999993515
4,1,4,permuted-mnist-task1-npz,0,0,1,3,1,freeze_S,0,0,0.199826614651062,0.2622453402687473,0.0624187256176853,nan,nan,nan,nan,nan,0,"{""1"": 0.199826614651062}","{""1"": 0.2622453402687473}","{""1"": 0.0624187256176853}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.870100567110263,0.0,4.870100567110263,0.0,0.9999999999997946
5,1,5,permuted-mnist-task1-npz,0,0,1,1,1,freeze_S,0,0,0.2622453402687473,0.19635890767230169,-0.06588643259644561,nan,nan,nan,nan,nan,0,"{""1"": 0.2622453402687473}","{""1"": 0.19635890767230169}","{""1"": -0.06588643259644561}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.374749139010368,0.0,3.374749139010368,0.0,0.9999999999997037
6,1,6,permuted-mnist-task1-npz,0,0,1,2,1,freeze_S,0,0,0.19635890767230169,0.19635890767230169,0.0,nan,nan,nan,nan,nan,0,"{""1"": 0.19635890767230169}","{""1"": 0.19635890767230169}","{""1"": 0.0}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.699961304925458,0.0,1.699961304925458,0.0,0.9999999999994117
7,1,7,permuted-mnist-task1-npz,0,0,1,0,1,freeze_S,0,0,0.19635890767230169,0.199826614651062,0.00346770697876031,nan,nan,nan,nan,nan,0,"{""1"": 0.19635890767230169}","{""1"": 0.199826614651062}","{""1"": 0.00346770697876031}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,6.195884880188411,0.0,6.195884880188411,0.0,0.9999999999998386
8,1,8,permuted-mnist-task1-npz,0,0,1,1,1,freeze_S,0,0,0.199826614651062,0.19635890767230169,-0.00346770697876031,nan,nan,nan,nan,nan,0,"{""1"": 0.199826614651062}","{""1"": 0.19635890767230169}","{""1"": -0.00346770697876031}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,5.709113459868366,0.0,5.709113459868366,0.0,0.9999999999998248
9,1,9,permuted-mnist-task1-npz,0,0,1,3,1,freeze_S,0,0,0.19635890767230169,0.2622453402687473,0.06588643259644561,nan,nan,nan,nan,nan,0,"{""1"": 0.19635890767230169}","{""1"": 0.2622453402687473}","{""1"": 0.06588643259644561}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.9461010890749706,0.0,3.9461010890749706,0.0,0.9999999999997465
10,1,10,permuted-mnist-task1-npz,0,0,1,1,1,freeze_S,0,0,0.2622453402687473,0.19635890767230169,-0.06588643259644561,nan,nan,nan,nan,nan,0,"{""1"": 0.2622453402687473}","{""1"": 0.19635890767230169}","{""1"": -0.06588643259644561}",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.062200271113311,0.0,4.062200271113311,0.0,0.9999999999997538
