global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
201,2,1,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,A,0,0.904,0.968,0.06399999999999995,125
201,2,1,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,A,0,nan,nan,0.06399999999999995,0
201,2,1,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.9696048632218845,0.9817629179331308,0.012158054711246202,658
201,2,1,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.012158054711246202,0
201,2,1,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,A,0,0.9791666666666666,0.9833333333333333,0.004166666666666652,480
201,2,1,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,A,0,nan,nan,0.004166666666666652,0
201,2,1,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.9559748427672956,0.9984276729559748,0.04245283018867918,636
201,2,1,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.04245283018867918,0
201,2,1,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.9411764705882353,0.9926470588235294,0.05147058823529416,408
201,2,1,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.05147058823529416,0
202,2,2,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.8358662613981763,0.8586626139817629,0.022796352583586588,658
202,2,2,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.022796352583586588,0
202,2,2,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,A,0,0.288,0.856,0.5680000000000001,125
202,2,2,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,A,0,nan,nan,0.5680000000000001,0
202,2,2,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.7044025157232704,0.9528301886792453,0.2484276729559749,636
202,2,2,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.2484276729559749,0
202,2,2,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.14215686274509803,0.9534313725490197,0.8112745098039216,408
202,2,2,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.8112745098039216,0
202,2,2,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,A,0,0.65,0.76875,0.11875000000000002,480
202,2,2,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,A,0,nan,nan,0.11875000000000002,0
203,2,3,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.7735562310030395,0.8434650455927052,0.06990881458966569,658
203,2,3,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.06990881458966569,0
203,2,3,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.10049019607843138,0.9730392156862745,0.8725490196078431,408
203,2,3,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.8725490196078431,0
203,2,3,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.8238993710691824,0.9827044025157232,0.1588050314465408,636
203,2,3,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.1588050314465408,0
203,2,3,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,A,0,0.6791666666666667,0.8208333333333333,0.1416666666666666,480
203,2,3,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,A,0,nan,nan,0.1416666666666666,0
203,2,3,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,A,0,0.24,0.824,0.584,125
203,2,3,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,A,0,nan,nan,0.584,0
204,2,4,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.09803921568627451,0.9803921568627451,0.8823529411764706,408
204,2,4,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.8823529411764706,0
204,2,4,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.8522012578616353,0.9874213836477987,0.1352201257861635,636
204,2,4,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.1352201257861635,0
204,2,4,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,A,0,0.7583333333333333,0.8729166666666667,0.11458333333333337,480
204,2,4,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,A,0,nan,nan,0.11458333333333337,0
204,2,4,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.7811550151975684,0.8434650455927052,0.06231003039513683,658
204,2,4,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.06231003039513683,0
204,2,4,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,A,0,0.24,0.872,0.632,125
204,2,4,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,A,0,nan,nan,0.632,0
