global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,local_eval_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,local_eval_global_acc_current_mean,local_eval_global_acc_current_std,local_eval_global_acc_current_wmean,local_eval_personalized_acc_current_mean,local_eval_personalized_acc_current_std,local_eval_personalized_acc_current_wmean,local_eval_delta_acc_current_mean,local_eval_delta_acc_current_std,local_eval_delta_acc_current_wmean,local_eval_global_acc_old_mean,local_eval_global_acc_old_std,local_eval_global_acc_old_wmean,local_eval_personalized_acc_old_mean,local_eval_personalized_acc_old_std,local_eval_personalized_acc_old_wmean,local_eval_delta_acc_old_mean,local_eval_delta_acc_old_std,local_eval_delta_acc_old_wmean,local_eval_global_acc_seen_mean,local_eval_global_acc_seen_std,local_eval_global_acc_seen_wmean,local_eval_personalized_acc_seen_mean,local_eval_personalized_acc_seen_std,local_eval_personalized_acc_seen_wmean,local_eval_delta_acc_seen_mean,local_eval_delta_acc_seen_std,local_eval_delta_acc_seen_wmean,local_eval_num_clients,local_eval_num_task_evals,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,permuted-mnist-task1-npz,0,0,5,3;2;0;4;1,1,none,1,0,5,0.09579540528825314,0.5283918508886,0.4325964456003468,nan,nan,nan,nan,nan,0,"{""1"": 0.09579540528825314}","{""1"": 0.5283918508886}","{""1"": 0.4325964456003468}",0.10259504530033611,0.07175316052357182,0.09579540528825314,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.8646976104132384,0.6158366632325736,1.02771067291746,1.5519324363239584,0.5686480728020231
2,1,2,permuted-mnist-task1-npz,0,0,5,1;0;2;4;3,1,none,1,0,5,0.5283918508886,0.6792371044646728,0.1508452535760728,nan,nan,nan,nan,nan,0,"{""1"": 0.5283918508886}","{""1"": 0.6792371044646728}","{""1"": 0.1508452535760728}",0.4274007996855908,0.35316601767631484,0.5283918508886,0.9062940315106373,0.04996643503029588,0.9146077156480278,0.4788932318250464,0.3311243444074371,0.3862158647594278,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4274007996855908,0.35316601767631484,0.5283918508886,0.9062940315106373,0.04996643503029588,0.9146077156480278,0.4788932318250464,0.3311243444074371,0.3862158647594278,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5663152005059484,0.43730374853222126,0.9830224321963582,1.207224357961576,0.6482745801167474
3,1,3,permuted-mnist-task1-npz,0,0,5,4;1;2;3;0,1,none,1,0,5,0.6792371044646728,0.7308192457737321,0.05158214130905936,nan,nan,nan,nan,nan,0,"{""1"": 0.6792371044646728}","{""1"": 0.7308192457737321}","{""1"": 0.05158214130905936}",0.5697392631400213,0.3624648797840291,0.6792371044646728,0.9590415033616819,0.024333117669933877,0.964456003467707,0.3893022402216607,0.3640620463800447,0.28521889900303427,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5697392631400213,0.3624648797840291,0.6792371044646728,0.9590415033616819,0.024333117669933877,0.964456003467707,0.3893022402216607,0.3640620463800447,0.28521889900303427,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.2236178710945673,0.25453644615751214,0.9030145020338056,0.7982185369947759,0.7584982201713981
4,1,4,permuted-mnist-task1-npz,0,0,5,4;3;1;2;0,1,none,1,0,5,0.7308192457737321,0.8218465539661899,0.09102730819245775,nan,nan,nan,nan,nan,0,"{""1"": 0.7308192457737321}","{""1"": 0.8218465539661899}","{""1"": 0.09102730819245775}",0.6345357597715924,0.3159092379208201,0.7308192457737321,0.967307127957566,0.02225892010425781,0.9735587342869527,0.33277136818597375,0.31463205739277206,0.24273948851322064,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6345357597715924,0.3159092379208201,0.7308192457737321,0.967307127957566,0.02225892010425781,0.9735587342869527,0.33277136818597375,0.31463205739277206,0.24273948851322064,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.0874200635860285,0.15834633239972937,0.8534035707403559,0.6408105577129044,0.7991547936734624
5,1,5,permuted-mnist-task1-npz,0,0,5,3;2;4;1;0,1,none,1,0,5,0.8218465539661899,0.8786302557433897,0.056783701777199824,nan,nan,nan,nan,nan,0,"{""1"": 0.8218465539661899}","{""1"": 0.8786302557433897}","{""1"": 0.056783701777199824}",0.762146963353788,0.2018526825200212,0.8218465539661899,0.9714689522617558,0.02233485877189171,0.9778933680104032,0.20932198890796788,0.20106414668389114,0.15604681404421328,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.762146963353788,0.2018526825200212,0.8218465539661899,0.9714689522617558,0.02233485877189171,0.9778933680104032,0.20932198890796788,0.20106414668389114,0.15604681404421328,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.0257352678583413,0.12425243069262015,0.8208919067948826,0.5744214229476616,0.8126708971675978
6,1,6,permuted-mnist-task1-npz,0,0,5,4;0;3;2;1,1,none,1,0,5,0.8786302557433897,0.9133073255309926,0.03467706978760288,nan,nan,nan,nan,nan,0,"{""1"": 0.8786302557433897}","{""1"": 0.9133073255309926}","{""1"": 0.03467706978760288}",0.8344628500135501,0.1310106069861324,0.8786302557433897,0.9726062369628703,0.022068749606796945,0.9791937581274383,0.1381433869493201,0.12637833695364858,0.10056350238404858,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8344628500135501,0.1310106069861324,0.8786302557433897,0.9726062369628703,0.022068749606796945,0.9791937581274383,0.1381433869493201,0.12637833695364858,0.10056350238404858,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9865960748657363,0.10909430309534623,0.8006260938485402,0.5317252239161231,0.822229611486328
7,1,7,permuted-mnist-task1-npz,0,0,5,3;2;1;4;0,1,none,1,0,5,0.9133073255309926,0.9336801040312094,0.020372778500216793,nan,nan,nan,nan,nan,0,"{""1"": 0.9133073255309926}","{""1"": 0.9336801040312094}","{""1"": 0.020372778500216793}",0.8772841010832273,0.09775433766754384,0.9133073255309926,0.9731338965373384,0.024901547455024407,0.9817945383615084,0.09584979545411101,0.08626180732533693,0.06848721283051583,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8772841010832273,0.09775433766754384,0.9133073255309926,0.9731338965373384,0.024901547455024407,0.9817945383615084,0.09584979545411101,0.08626180732533693,0.06848721283051583,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9535098236125386,0.07953265450570146,0.7930927998568174,0.48695058471024255,0.8374159803278654
8,1,8,permuted-mnist-task1-npz,0,0,5,3;1;2;0;4,1,none,1,0,5,0.9336801040312094,0.9423493714781102,0.008669267446900775,nan,nan,nan,nan,nan,0,"{""1"": 0.9336801040312094}","{""1"": 0.9423493714781102}","{""1"": 0.008669267446900775}",0.9103096765723551,0.06403585625777244,0.9336801040312094,0.973765479760752,0.024437727065563353,0.9822280017338535,0.06345580318839701,0.05379222050823588,0.04854789770264413,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9103096765723551,0.06403585625777244,0.9336801040312094,0.973765479760752,0.024437727065563353,0.9822280017338535,0.06345580318839701,0.05379222050823588,0.04854789770264413,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9308937039885542,0.07543885346722659,0.790670510180548,0.44702613428228855,0.8528364953857587
9,1,9,permuted-mnist-task1-npz,0,0,5,0;2;3;4;1,1,none,1,0,5,0.9423493714781102,0.9427828348504551,0.00043346337234495547,nan,nan,nan,nan,nan,0,"{""1"": 0.9423493714781102}","{""1"": 0.9427828348504551}","{""1"": 0.00043346337234495547}",0.9213677077816274,0.057288173301009514,0.9423493714781102,0.9764585872165004,0.022216919863952616,0.9835283918508886,0.0550908794348731,0.048499927436971776,0.04117902037277847,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9213677077816274,0.057288173301009514,0.9423493714781102,0.9764585872165004,0.022216919863952616,0.9835283918508886,0.0550908794348731,0.048499927436971776,0.04117902037277847,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9240658818965288,0.0761541765367955,0.7918454633444124,0.42500783502795947,0.860227374796312
10,1,10,permuted-mnist-task1-npz,0,0,5,1;4;0;3;2,1,none,1,0,5,0.9427828348504551,0.9488513220632857,0.006068487212830598,nan,nan,nan,nan,nan,0,"{""1"": 0.9427828348504551}","{""1"": 0.9488513220632857}","{""1"": 0.006068487212830598}",0.9199506197661723,0.062346022086562355,0.9427828348504551,0.9736427817453759,0.025242918262856608,0.9813610749891634,0.05369216197920359,0.05303319026294318,0.038578240138708295,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9199506197661723,0.062346022086562355,0.9427828348504551,0.9736427817453759,0.025242918262856608,0.9813610749891634,0.05369216197920359,0.05303319026294318,0.038578240138708295,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9308097301744865,0.0836254046549658,0.7956156109530353,0.42530945626578076,0.858363405256636
11,1,11,permuted-mnist-task1-npz,0,0,5,2;3;4;1;0,1,none,1,0,5,0.9488513220632857,0.951885565669701,0.0030342436064152434,nan,nan,nan,nan,nan,0,"{""1"": 0.9488513220632857}","{""1"": 0.951885565669701}","{""1"": 0.0030342436064152434}",0.9304312225974292,0.04966861681927235,0.9488513220632857,0.9797713025153859,0.01664944554931962,0.9843953185955787,0.049340079917956726,0.04314886316460049,0.035543996532293,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9304312225974292,0.04966861681927235,0.9488513220632857,0.9797713025153859,0.01664944554931962,0.9843953185955787,0.049340079917956726,0.04314886316460049,0.035543996532293,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9201163428009019,0.08491368435666513,0.7984031784974178,0.39786528299886725,0.8696002418673936
12,1,12,permuted-mnist-task1-npz,0,0,5,3;0;1;4;2,1,none,1,0,5,0.951885565669701,0.951885565669701,0.0,nan,nan,nan,nan,nan,0,"{""1"": 0.951885565669701}","{""1"": 0.951885565669701}","{""1"": 0.0}",0.9339753104453342,0.04726324043867999,0.951885565669701,0.9801879691820525,0.016655167916804,0.9848287819679237,0.04621265873671827,0.038601219118004675,0.03294321629822278,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9339753104453342,0.04726324043867999,0.951885565669701,0.9801879691820525,0.016655167916804,0.9848287819679237,0.04621265873671827,0.038601219118004675,0.03294321629822278,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9071945381290482,0.09039818170147075,0.8038099300779551,0.3689886476570127,0.8858151383673748
13,1,13,permuted-mnist-task1-npz,0,0,5,1;3;0;4;2,1,none,1,0,5,0.951885565669701,0.9549198092761162,0.0030342436064152434,nan,nan,nan,nan,nan,0,"{""1"": 0.951885565669701}","{""1"": 0.9549198092761162}","{""1"": 0.0030342436064152434}",0.9333640749836667,0.04977208949531338,0.951885565669701,0.9796927817453758,0.017147757772943584,0.9839618552232337,0.04632870676170908,0.042419526128803925,0.032076289553532714,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9333640749836667,0.04977208949531338,0.951885565669701,0.9796927817453758,0.017147757772943584,0.9839618552232337,0.04632870676170908,0.042419526128803925,0.032076289553532714,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.896344712892097,0.10172585731655664,0.8077877710345869,0.3433361520013303,0.8999169000745507
14,1,14,permuted-mnist-task1-npz,0,0,5,2;3;0;1;4,1,none,1,0,5,0.9549198092761162,0.9579540528825314,0.0030342436064152434,nan,nan,nan,nan,nan,0,"{""1"": 0.9549198092761162}","{""1"": 0.9579540528825314}","{""1"": 0.0030342436064152434}",0.9405260205647895,0.040595237923389045,0.9549198092761162,0.9817094484120424,0.014766976642340173,0.9848287819679237,0.04118342784725293,0.03522996795390531,0.029908972691807572,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9405260205647895,0.040595237923389045,0.9549198092761162,0.9817094484120424,0.014766976642340173,0.9848287819679237,0.04118342784725293,0.03522996795390531,0.029908972691807572,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.8850735909893496,0.10760832292294613,0.8125750463261759,0.31206388540022445,0.9163117084830171
15,1,15,permuted-mnist-task1-npz,0,0,5,2;1;4;0;3,1,none,1,0,5,0.9579540528825314,0.9566536627654963,-0.0013003901170350884,nan,nan,nan,nan,nan,0,"{""1"": 0.9579540528825314}","{""1"": 0.9566536627654963}","{""1"": -0.0013003901170350884}",0.945253441746028,0.035561413666375906,0.9579540528825314,0.9806848790098135,0.015210427781127028,0.9835283918508886,0.035431437263785434,0.029616224949507,0.02557433896835713,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.945253441746028,0.035561413666375906,0.9579540528825314,0.9806848790098135,0.015210427781127028,0.9835283918508886,0.035431437263785434,0.029616224949507,0.02557433896835713,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9038525379917057,0.09641301253687153,0.818544052966082,0.33079452022887385,0.9050605778650102
16,1,16,permuted-mnist-task1-npz,0,0,5,4;2;0;1;3,1,none,1,0,5,0.9566536627654963,0.9583875162548765,0.001733853489380155,nan,nan,nan,nan,nan,0,"{""1"": 0.9566536627654963}","{""1"": 0.9583875162548765}","{""1"": 0.001733853489380155}",0.9430980403401825,0.0369269332089904,0.9566536627654963,0.9825993444186185,0.013636486168433852,0.9843953185955787,0.03950130407843584,0.03244838195606206,0.027741655830082326,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9430980403401825,0.0369269332089904,0.9566536627654963,0.9825993444186185,0.013636486168433852,0.9843953185955787,0.03950130407843584,0.03244838195606206,0.027741655830082326,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.8849533333165693,0.10477696201423355,0.8225847563869338,0.2871042736216325,0.9278042082688055
17,1,17,permuted-mnist-task1-npz,0,0,5,4;2;3;0;1,1,none,1,0,5,0.9583875162548765,0.9627221499783268,0.004334633723450332,nan,nan,nan,nan,nan,0,"{""1"": 0.9583875162548765}","{""1"": 0.9627221499783268}","{""1"": 0.004334633723450332}",0.9463863465337962,0.031948751992708954,0.9583875162548765,0.9840063859586389,0.011932195493348577,0.9865626354573038,0.03762003942484258,0.02659492212974561,0.028175119202427372,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9463863465337962,0.031948751992708954,0.9583875162548765,0.9840063859586389,0.011932195493348577,0.9865626354573038,0.03762003942484258,0.02659492212974561,0.028175119202427372,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.8713375711880932,0.10836717350784705,0.8245193685290504,0.24957001273264803,0.9446485414361222
