global_round,task_idx,round_in_task,phase,scope,client_id,old_task_idx,old_dataset,exp_id,run_seed,lambda_max,opt_drift,batch_offsets,num_clients_used
201,2,1,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,94.7674015045166,2.201502158322549,5;0;2;0;5,5
201,2,1,before_local,client,1,1,permuted-mnist-task1-npz,A,0,26.80282974243164,2.394305994909444,0,1
201,2,1,before_local,client,0,1,permuted-mnist-task1-npz,A,0,0.40278762578964233,2.3770594294888547,7,1
201,2,1,before_local,client,4,1,permuted-mnist-task1-npz,A,0,4.542929649353027,2.310793384643926,1,1
201,2,1,before_local,client,3,1,permuted-mnist-task1-npz,A,0,0.153802752494812,2.3357321766957284,0,1
201,2,1,before_local,client,2,1,permuted-mnist-task1-npz,A,0,35.15898513793945,2.3705588134810722,4,1
201,2,1,after_local,client,1,1,permuted-mnist-task1-npz,A,0,31.120201110839844,3.664106766793259,0,1
201,2,1,after_local,client,0,1,permuted-mnist-task1-npz,A,0,97.8203353881836,4.9822199185009435,7,1
201,2,1,after_local,client,4,1,permuted-mnist-task1-npz,A,0,50.64223861694336,3.9412163791725736,1,1
201,2,1,after_local,client,3,1,permuted-mnist-task1-npz,A,0,96.07096862792969,2.880302440132218,0,1
201,2,1,after_local,client,2,1,permuted-mnist-task1-npz,A,0,140.8192138671875,4.160216584014375,4,1
201,2,1,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,132.71002044677735,3.1119285371301664,5;0;2;0;5,5
202,2,2,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,133.3612258911133,3.1119285371301664,6;1;3;1;4,5
202,2,2,before_local,client,0,1,permuted-mnist-task1-npz,A,0,60.35436248779297,3.261058536186185,2,1
202,2,2,before_local,client,1,1,permuted-mnist-task1-npz,A,0,165.83462524414062,3.267051425243871,1,1
202,2,2,before_local,client,3,1,permuted-mnist-task1-npz,A,0,26.736772537231445,3.2306532709805027,3,1
202,2,2,before_local,client,2,1,permuted-mnist-task1-npz,A,0,51.51527786254883,3.2856735056584436,0,1
202,2,2,before_local,client,4,1,permuted-mnist-task1-npz,A,0,94.0848159790039,3.226799802115572,2,1
202,2,2,after_local,client,0,1,permuted-mnist-task1-npz,A,0,67.66581726074219,4.551769083889336,2,1
202,2,2,after_local,client,1,1,permuted-mnist-task1-npz,A,0,38.664676666259766,3.6257857616154423,1,1
202,2,2,after_local,client,3,1,permuted-mnist-task1-npz,A,0,51.2740364074707,3.533865193801571,3,1
202,2,2,after_local,client,2,1,permuted-mnist-task1-npz,A,0,161.9405975341797,3.684761961172129,0,1
202,2,2,after_local,client,4,1,permuted-mnist-task1-npz,A,0,95.24755096435547,4.239322012903104,2,1
202,2,2,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,124.053759765625,3.6001020483489197,6;1;3;1;4,5
203,2,3,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,122.19444732666015,3.6001020483489197,7;0;4;2;3,5
203,2,3,before_local,client,0,1,permuted-mnist-task1-npz,A,0,91.05313110351562,3.7643789063781274,5,1
203,2,3,before_local,client,2,1,permuted-mnist-task1-npz,A,0,19.207754135131836,3.798926496825596,1,1
203,2,3,before_local,client,3,1,permuted-mnist-task1-npz,A,0,24.625415802001953,3.7229770119923957,6,1
203,2,3,before_local,client,4,1,permuted-mnist-task1-npz,A,0,64.17367553710938,3.7374966404893377,3,1
203,2,3,before_local,client,1,1,permuted-mnist-task1-npz,A,0,188.7182159423828,3.750986310275322,0,1
203,2,3,after_local,client,0,1,permuted-mnist-task1-npz,A,0,67.11953735351562,4.768480769062408,5,1
203,2,3,after_local,client,2,1,permuted-mnist-task1-npz,A,0,244.785888671875,4.101959792377752,1,1
203,2,3,after_local,client,3,1,permuted-mnist-task1-npz,A,0,36.40513229370117,3.910934843751323,6,1
203,2,3,after_local,client,4,1,permuted-mnist-task1-npz,A,0,68.140625,4.545432409825599,3,1
203,2,3,after_local,client,1,1,permuted-mnist-task1-npz,A,0,111.6998291015625,3.9903551427441184,0,1
203,2,3,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,117.5419677734375,4.031180890363276,7;0;4;2;3,5
204,2,4,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,119.6086929321289,4.031180890363276,0;1;0;3;2,5
204,2,4,before_local,client,2,1,permuted-mnist-task1-npz,A,0,22.972875595092773,4.237468119817136,2,1
204,2,4,before_local,client,3,1,permuted-mnist-task1-npz,A,0,39.4029426574707,4.151390917792524,1,1
204,2,4,before_local,client,4,1,permuted-mnist-task1-npz,A,0,49.802677154541016,4.180821589777026,4,1
204,2,4,before_local,client,0,1,permuted-mnist-task1-npz,A,0,72.8326416015625,4.19569939555553,0,1
204,2,4,before_local,client,1,1,permuted-mnist-task1-npz,A,0,192.7700653076172,4.180552970998128,1,1
204,2,4,after_local,client,2,1,permuted-mnist-task1-npz,A,0,247.87059020996094,4.474027998015135,2,1
204,2,4,after_local,client,3,1,permuted-mnist-task1-npz,A,0,55.906864166259766,4.307164976632563,1,1
204,2,4,after_local,client,4,1,permuted-mnist-task1-npz,A,0,103.24091339111328,4.8731009430647445,4,1
204,2,4,after_local,client,0,1,permuted-mnist-task1-npz,A,0,66.02857971191406,5.031988844169438,0,1
204,2,4,after_local,client,1,1,permuted-mnist-task1-npz,A,0,228.9315643310547,4.385450943615993,1,1
204,2,4,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,127.70478515625,4.413237239694514,0;1;0;3;2,5
205,2,5,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,132.31655883789062,4.413237239694514,1;0;1;4;1,5
205,2,5,before_local,client,4,1,permuted-mnist-task1-npz,A,0,58.48653030395508,4.566608003543511,5,1
205,2,5,before_local,client,3,1,permuted-mnist-task1-npz,A,0,15.000066757202148,4.532651477335045,4,1
205,2,5,before_local,client,2,1,permuted-mnist-task1-npz,A,0,16.00653839111328,4.619014723757608,3,1
205,2,5,before_local,client,1,1,permuted-mnist-task1-npz,A,0,203.79779052734375,4.563285675072806,0,1
205,2,5,before_local,client,0,1,permuted-mnist-task1-npz,A,0,132.63819885253906,4.571207822824683,3,1
205,2,5,after_local,client,4,1,permuted-mnist-task1-npz,A,0,131.21226501464844,5.139724331874737,5,1
205,2,5,after_local,client,3,1,permuted-mnist-task1-npz,A,0,16.333236694335938,4.641613135793918,4,1
205,2,5,after_local,client,2,1,permuted-mnist-task1-npz,A,0,170.65753173828125,4.80070777810462,3,1
205,2,5,after_local,client,1,1,permuted-mnist-task1-npz,A,0,233.55303955078125,4.740789895460453,0,1
205,2,5,after_local,client,0,1,permuted-mnist-task1-npz,A,0,57.67011642456055,5.25167304955909,3,1
205,2,5,after_agg,global,-1,1,permuted-mnist-task1-npz,A,0,136.1789779663086,4.730664450986133,1;0;1;4;1,5
206,2,6,before_local,global,-1,1,permuted-mnist-task1-npz,A,0,142.07616119384767,4.730664450986133,2;1;2;5;0,5
206,2,6,before_local,client,4,1,permuted-mnist-task1-npz,A,0,65.65835571289062,4.880794131830191,0,1
206,2,6,before_local,client,2,1,permuted-mnist-task1-npz,A,0,37.44813537597656,4.935043837111103,4,1
206,2,6,before_local,client,1,1,permuted-mnist-task1-npz,A,0,232.8687286376953,4.8856318484421575,1,1
206,2,6,before_local,client,0,1,permuted-mnist-task1-npz,A,0,74.49005889892578,4.884101709115649,6,1
206,2,6,before_local,client,3,1,permuted-mnist-task1-npz,A,0,12.126614570617676,4.851222574032207,7,1
206,2,6,after_local,client,4,1,permuted-mnist-task1-npz,A,0,119.2418441772461,5.37908243376967,0,1
206,2,6,after_local,client,2,1,permuted-mnist-task1-npz,A,0,189.96823120117188,5.079738118644936,4,1
206,2,6,after_local,client,1,1,permuted-mnist-task1-npz,A,0,288.9972229003906,5.041184666018943,1,1
206,2,6,after_local,client,0,1,permuted-mnist-task1-npz,A,0,54.908348083496094,5.5121597344103455,6,1
206,2,6,after_local,client,3,1,permuted-mnist-task1-npz,A,0,24.698204040527344,4.936423053154713,7,1
