global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
201,2,1,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.944,0.944,0.0,125
201,2,1,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
201,2,1,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.9741641337386018,0.9741641337386018,0.0,658
201,2,1,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
201,2,1,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.9770833333333333,0.9770833333333333,0.0,480
201,2,1,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
201,2,1,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.9984276729559748,0.9984276729559748,0.0,636
201,2,1,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
201,2,1,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.9852941176470589,0.9852941176470589,0.0,408
201,2,1,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
202,2,2,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.8206686930091185,0.8206686930091185,0.0,658
202,2,2,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
202,2,2,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.904,0.904,0.0,125
202,2,2,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
202,2,2,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.8176100628930818,0.8176100628930818,0.0,636
202,2,2,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
202,2,2,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.9068627450980392,0.9068627450980392,0.0,408
202,2,2,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
202,2,2,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.3770833333333333,0.3770833333333333,0.0,480
202,2,2,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
203,2,3,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.7355623100303952,0.7355623100303952,0.0,658
203,2,3,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
203,2,3,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.8431372549019608,0.8431372549019608,0.0,408
203,2,3,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
203,2,3,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.89937106918239,0.89937106918239,0.0,636
203,2,3,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
203,2,3,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.6979166666666666,0.6979166666666666,0.0,480
203,2,3,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
203,2,3,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.816,0.816,0.0,125
203,2,3,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
204,2,4,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.8700980392156863,0.8700980392156863,0.0,408
204,2,4,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
204,2,4,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.8663522012578616,0.8663522012578616,0.0,636
204,2,4,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
204,2,4,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.7375,0.7375,0.0,480
204,2,4,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
204,2,4,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.78419452887538,0.78419452887538,0.0,658
204,2,4,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
204,2,4,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.88,0.88,0.0,125
204,2,4,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
205,2,5,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.725,0.725,0.0,480
205,2,5,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
205,2,5,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.9056603773584906,0.9056603773584906,0.0,636
205,2,5,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
205,2,5,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.7941176470588235,0.7941176470588235,0.0,408
205,2,5,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
205,2,5,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.76,0.76,0.0,125
205,2,5,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
205,2,5,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.7537993920972644,0.7537993920972644,0.0,658
205,2,5,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
206,2,6,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.7375,0.7375,0.0,480
206,2,6,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
206,2,6,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.7965686274509803,0.7965686274509803,0.0,408
206,2,6,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
206,2,6,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.776,0.776,0.0,125
206,2,6,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
206,2,6,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.7553191489361702,0.7553191489361702,0.0,658
206,2,6,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
206,2,6,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.889937106918239,0.889937106918239,0.0,636
206,2,6,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
207,2,7,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.7218844984802432,0.7218844984802432,0.0,658
207,2,7,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
207,2,7,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.74375,0.74375,0.0,480
207,2,7,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
207,2,7,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,B,0,0.9088050314465409,0.9088050314465409,0.0,636
207,2,7,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
207,2,7,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,B,0,0.728,0.728,0.0,125
207,2,7,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
207,2,7,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.7524509803921569,0.7524509803921569,0.0,408
207,2,7,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
208,2,8,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,B,0,0.7416666666666667,0.7416666666666667,0.0,480
208,2,8,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
208,2,8,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,B,0,0.7156862745098039,0.7156862745098039,0.0,408
208,2,8,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,B,0,nan,nan,0.0,0
208,2,8,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,B,0,0.6899696048632219,0.6899696048632219,0.0,658
