global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,local_eval_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,local_eval_global_acc_current_mean,local_eval_global_acc_current_std,local_eval_global_acc_current_wmean,local_eval_personalized_acc_current_mean,local_eval_personalized_acc_current_std,local_eval_personalized_acc_current_wmean,local_eval_delta_acc_current_mean,local_eval_delta_acc_current_std,local_eval_delta_acc_current_wmean,local_eval_global_acc_old_mean,local_eval_global_acc_old_std,local_eval_global_acc_old_wmean,local_eval_personalized_acc_old_mean,local_eval_personalized_acc_old_std,local_eval_personalized_acc_old_wmean,local_eval_delta_acc_old_mean,local_eval_delta_acc_old_std,local_eval_delta_acc_old_wmean,local_eval_global_acc_seen_mean,local_eval_global_acc_seen_std,local_eval_global_acc_seen_wmean,local_eval_personalized_acc_seen_mean,local_eval_personalized_acc_seen_std,local_eval_personalized_acc_seen_wmean,local_eval_delta_acc_seen_mean,local_eval_delta_acc_seen_std,local_eval_delta_acc_seen_wmean,local_eval_num_clients,local_eval_num_task_evals,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,permuted-mnist-task1-npz,0,0,5,3;2;0;4;1,0,none,1,0,5,0.09579540528825314,0.5253576072821846,0.42956220199393147,nan,nan,nan,nan,nan,0,"{""1"": 0.09579540528825314}","{""1"": 0.5253576072821846}","{""1"": 0.42956220199393147}",0.10259504530033611,0.07175316052357182,0.09579540528825314,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.8653510981527817,0.6169501036505879,1.0280986130004628,1.5524609413409962,0.568680466781234
2,1,2,permuted-mnist-task1-npz,0,0,5,1;0;2;4;3,0,none,1,0,5,0.5253576072821846,0.7854356306892067,0.26007802340702213,nan,nan,nan,nan,nan,0,"{""1"": 0.5253576072821846}","{""1"": 0.7854356306892067}","{""1"": 0.26007802340702213}",0.42459684831780964,0.35164103029728416,0.5253576072821846,0.42459684831780964,0.35164103029728416,0.5253576072821846,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.42459684831780964,0.35164103029728416,0.5253576072821846,0.42459684831780964,0.35164103029728416,0.5253576072821846,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.5706771280516878,0.4054919109506498,0.8057506371607479,1.343701247122223,0.5237006432436436
3,1,3,permuted-mnist-task1-npz,0,0,5,4;1;2;3;0,0,none,1,0,5,0.7854356306892067,0.9024707412223667,0.11703511053315996,nan,nan,nan,nan,nan,0,"{""1"": 0.7854356306892067}","{""1"": 0.9024707412223667}","{""1"": 0.11703511053315996}",0.7136726529792969,0.2443278554956138,0.7854356306892067,0.7136726529792969,0.2443278554956138,0.7854356306892067,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7136726529792969,0.2443278554956138,0.7854356306892067,0.7136726529792969,0.2443278554956138,0.7854356306892067,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.157676543730926,0.19524579752409757,0.6191047891365431,0.9704804957848049,0.545019524593656
4,1,4,permuted-mnist-task1-npz,0,0,5,4;3;1;2;0,0,none,1,0,5,0.9024707412223667,0.9202427394885132,0.017771998266146505,nan,nan,nan,nan,nan,0,"{""1"": 0.9024707412223667}","{""1"": 0.9202427394885132}","{""1"": 0.017771998266146505}",0.8694576490491821,0.08301962275257718,0.9024707412223667,0.8694576490491821,0.08301962275257718,0.9024707412223667,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8694576490491821,0.08301962275257718,0.9024707412223667,0.8694576490491821,0.08301962275257718,0.9024707412223667,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9020872009604922,0.16690111619895567,0.47579916766773167,0.759456018316139,0.5374297496657848
5,1,5,permuted-mnist-task1-npz,0,0,5,3;2;4;1;0,0,none,1,0,5,0.9202427394885132,0.9397485912440399,0.01950585175552666,nan,nan,nan,nan,nan,0,"{""1"": 0.9202427394885132}","{""1"": 0.9397485912440399}","{""1"": 0.01950585175552666}",0.8993502590839627,0.05883417523046422,0.9202427394885132,0.8993502590839627,0.05883417523046422,0.9202427394885132,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8993502590839627,0.05883417523046422,0.9202427394885132,0.8993502590839627,0.05883417523046422,0.9202427394885132,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.8201340344504109,0.12512464788650704,0.427859371761779,0.69112301763749,0.5298314526371298
6,1,6,permuted-mnist-task1-npz,0,0,5,4;0;3;2;1,0,none,1,0,5,0.9397485912440399,0.9471174685739056,0.007368877329865686,nan,nan,nan,nan,nan,0,"{""1"": 0.9397485912440399}","{""1"": 0.9471174685739056}","{""1"": 0.007368877329865686}",0.924219940918961,0.04072764991327919,0.9397485912440399,0.924219940918961,0.04072764991327919,0.9397485912440399,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.924219940918961,0.04072764991327919,0.9397485912440399,0.924219940918961,0.04072764991327919,0.9397485912440399,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.7372004307713869,0.14597033028925782,0.38255046291015504,0.6225770980487197,0.5240420525764741
7,1,7,permuted-mnist-task1-npz,0,0,5,3;2;1;4;0,0,none,1,0,5,0.9471174685739056,0.9557867360208062,0.008669267446900664,nan,nan,nan,nan,nan,0,"{""1"": 0.9471174685739056}","{""1"": 0.9557867360208062}","{""1"": 0.008669267446900664}",0.9366744739324876,0.02778495752546507,0.9471174685739056,0.9366744739324876,0.02778495752546507,0.9471174685739056,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9366744739324876,0.02778495752546507,0.9471174685739056,0.9366744739324876,0.02778495752546507,0.9471174685739056,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.701843353449713,0.12947445275836017,0.3603263649583836,0.5949328806374284,0.5182277031205607
8,1,8,permuted-mnist-task1-npz,0,0,5,3;1;2;0;4,0,none,1,0,5,0.9557867360208062,0.9601213697442567,0.004334633723450443,nan,nan,nan,nan,nan,0,"{""1"": 0.9557867360208062}","{""1"": 0.9601213697442567}","{""1"": 0.004334633723450443}",0.9462291837168427,0.025219097446974766,0.9557867360208062,0.9462291837168427,0.025219097446974766,0.9557867360208062,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9462291837168427,0.025219097446974766,0.9557867360208062,0.9462291837168427,0.025219097446974766,0.9557867360208062,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.665343953661259,0.14624177344272937,0.33881701763599126,0.565998842612252,0.5145086369757388
9,1,9,permuted-mnist-task1-npz,0,0,5,0;2;3;4;1,0,none,1,0,5,0.9601213697442567,0.964456003467707,0.004334633723450332,nan,nan,nan,nan,nan,0,"{""1"": 0.9601213697442567}","{""1"": 0.964456003467707}","{""1"": 0.004334633723450332}",0.9506115962563267,0.02508897097769087,0.9601213697442567,0.9506115962563267,0.02508897097769087,0.9601213697442567,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9506115962563267,0.02508897097769087,0.9601213697442567,0.9506115962563267,0.02508897097769087,0.9601213697442567,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.6310136461405981,0.14962708619751383,0.3175863232124311,0.5382774523911842,0.5085165011510987
10,1,10,permuted-mnist-task1-npz,0,0,5,1;4;0;3;2,0,none,1,0,5,0.964456003467707,0.9609882964889467,-0.00346770697876031,nan,nan,nan,nan,nan,0,"{""1"": 0.964456003467707}","{""1"": 0.9609882964889467}","{""1"": -0.00346770697876031}",0.955794407542222,0.02469547799577714,0.964456003467707,0.955794407542222,0.02469547799577714,0.964456003467707,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.955794407542222,0.02469547799577714,0.964456003467707,0.955794407542222,0.02469547799577714,0.964456003467707,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.613660184855034,0.16089463993798445,0.3064360716937419,0.5251016312965627,0.5045456799145517
