global_round,task_idx,round_in_task,phase,scope,client_id,old_task_idx,old_dataset,exp_id,run_seed,lambda_max,opt_drift,batch_offsets,num_clients_used
201,2,1,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,24.284191608428955,0.15109626757006217,5;0;2;0;5,5
201,2,1,before_local,client,1,1,permuted-mnist-task1-npz,B,0,49.94789123535156,0.15109626757006217,0,1
201,2,1,before_local,client,0,1,permuted-mnist-task1-npz,B,0,62.081729888916016,0.15109626757006217,7,1
201,2,1,before_local,client,4,1,permuted-mnist-task1-npz,B,0,7.30418062210083,0.15109626757006217,1,1
201,2,1,before_local,client,3,1,permuted-mnist-task1-npz,B,0,2.7005999088287354,0.15109626757006217,0,1
201,2,1,before_local,client,2,1,permuted-mnist-task1-npz,B,0,29.52205467224121,0.15109626757006217,4,1
201,2,1,after_local,client,1,1,permuted-mnist-task1-npz,B,0,31.54450035095215,4.472891589390785,0,1
201,2,1,after_local,client,0,1,permuted-mnist-task1-npz,B,0,73.69390869140625,5.782773027173235,7,1
201,2,1,after_local,client,4,1,permuted-mnist-task1-npz,B,0,51.953826904296875,3.770877617211315,1,1
201,2,1,after_local,client,3,1,permuted-mnist-task1-npz,B,0,157.93026733398438,5.549034595508494,0,1
201,2,1,after_local,client,2,1,permuted-mnist-task1-npz,B,0,29.776779174804688,6.519906217786993,4,1
201,2,1,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,62.11259384155274,3.9334342526092825,5;0;2;0;5,5
202,2,2,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,64.12679786682129,3.9334342526092825,6;1;3;1;4,5
202,2,2,before_local,client,0,1,permuted-mnist-task1-npz,B,0,49.0860595703125,3.9334342526092825,2,1
202,2,2,before_local,client,1,1,permuted-mnist-task1-npz,B,0,28.526596069335938,3.9334342526092825,1,1
202,2,2,before_local,client,3,1,permuted-mnist-task1-npz,B,0,100.12674713134766,3.9334342526092825,3,1
202,2,2,before_local,client,2,1,permuted-mnist-task1-npz,B,0,23.870864868164062,3.9334342526092825,0,1
202,2,2,before_local,client,4,1,permuted-mnist-task1-npz,B,0,99.6524658203125,3.9334342526092825,2,1
202,2,2,after_local,client,0,1,permuted-mnist-task1-npz,B,0,57.82371139526367,4.769678265104593,2,1
202,2,2,after_local,client,1,1,permuted-mnist-task1-npz,B,0,18.845069885253906,4.189929257748584,1,1
202,2,2,after_local,client,3,1,permuted-mnist-task1-npz,B,0,63.47478485107422,4.186125893489893,3,1
202,2,2,after_local,client,2,1,permuted-mnist-task1-npz,B,0,32.0181884765625,4.301943297181403,0,1
202,2,2,after_local,client,4,1,permuted-mnist-task1-npz,B,0,80.37139892578125,4.6609857215506505,2,1
202,2,2,after_agg,global,-1,1,permuted-mnist-task1-npz,B,0,120.51884536743164,4.195233796378639,6;1;3;1;4,5
203,2,3,before_local,global,-1,1,permuted-mnist-task1-npz,B,0,122.64578475952149,4.195233796378639,7;0;4;2;3,5
203,2,3,before_local,client,0,1,permuted-mnist-task1-npz,B,0,109.497802734375,4.195233796378639,5,1
203,2,3,before_local,client,2,1,permuted-mnist-task1-npz,B,0,196.77684020996094,4.195233796378639,1,1
203,2,3,before_local,client,3,1,permuted-mnist-task1-npz,B,0,53.89544677734375,4.195233796378639,6,1
203,2,3,before_local,client,4,1,permuted-mnist-task1-npz,B,0,88.77676391601562,4.195233796378639,3,1
203,2,3,before_local,client,1,1,permuted-mnist-task1-npz,B,0,162.08206176757812,4.195233796378639,0,1
203,2,3,after_local,client,0,1,permuted-mnist-task1-npz,B,0,53.401123046875,5.007223995736459,5,1
203,2,3,after_local,client,2,1,permuted-mnist-task1-npz,B,0,66.78221893310547,4.521751535156341,1,1
203,2,3,after_local,client,3,1,permuted-mnist-task1-npz,B,0,48.181427001953125,4.380392012239488,6,1
