global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,local_eval_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,local_eval_global_acc_current_mean,local_eval_global_acc_current_std,local_eval_global_acc_current_wmean,local_eval_personalized_acc_current_mean,local_eval_personalized_acc_current_std,local_eval_personalized_acc_current_wmean,local_eval_delta_acc_current_mean,local_eval_delta_acc_current_std,local_eval_delta_acc_current_wmean,local_eval_global_acc_old_mean,local_eval_global_acc_old_std,local_eval_global_acc_old_wmean,local_eval_personalized_acc_old_mean,local_eval_personalized_acc_old_std,local_eval_personalized_acc_old_wmean,local_eval_delta_acc_old_mean,local_eval_delta_acc_old_std,local_eval_delta_acc_old_wmean,local_eval_global_acc_seen_mean,local_eval_global_acc_seen_std,local_eval_global_acc_seen_wmean,local_eval_personalized_acc_seen_mean,local_eval_personalized_acc_seen_std,local_eval_personalized_acc_seen_wmean,local_eval_delta_acc_seen_mean,local_eval_delta_acc_seen_std,local_eval_delta_acc_seen_wmean,local_eval_num_clients,local_eval_num_task_evals,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,permuted-mnist-task1-npz,0,0,5,3;2;0;4;1,1,freeze_P,0,0,5,0.09579540528825314,0.4226267880364109,0.32683138274815776,nan,nan,nan,nan,nan,0,"{""1"": 0.09579540528825314}","{""1"": 0.4226267880364109}","{""1"": 0.32683138274815776}",0.10259504530033611,0.07175316052357182,0.09579540528825314,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.9239915122014886,0.6113762053019018,0.0,1.9239915122014886,0.0
2,1,2,permuted-mnist-task1-npz,0,0,5,1;0;2;4;3,1,freeze_P,0,0,5,0.4226267880364109,0.8006068487212831,0.37798006068487217,nan,nan,nan,nan,nan,0,"{""1"": 0.4226267880364109}","{""1"": 0.8006068487212831}","{""1"": 0.37798006068487217}",0.3382464879167243,0.32470944351550174,0.4226267880364109,0.3382464879167243,0.32470944351550174,0.4226267880364109,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3382464879167243,0.32470944351550174,0.4226267880364109,0.3382464879167243,0.32470944351550174,0.4226267880364109,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.6454260292536156,0.40273014733280127,0.0,1.6454260292536156,0.0
3,1,3,permuted-mnist-task1-npz,0,0,5,4;1;2;3;0,1,freeze_P,0,0,5,0.8006068487212831,0.8686605981794538,0.06805374945817078,nan,nan,nan,nan,nan,0,"{""1"": 0.8006068487212831}","{""1"": 0.8686605981794538}","{""1"": 0.06805374945817078}",0.7569202164205706,0.15610771224742326,0.8006068487212831,0.7569202164205706,0.15610771224742326,0.8006068487212831,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7569202164205706,0.15610771224742326,0.8006068487212831,0.7569202164205706,0.15610771224742326,0.8006068487212831,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.151557559576032,0.20079524141207405,0.0,1.151557559576032,0.0
4,1,4,permuted-mnist-task1-npz,0,0,5,4;3;1;2;0,1,freeze_P,0,0,5,0.8686605981794538,0.9150411790203727,0.046380580840918895,nan,nan,nan,nan,nan,0,"{""1"": 0.8686605981794538}","{""1"": 0.9150411790203727}","{""1"": 0.046380580840918895}",0.8274181281745939,0.11094544177561881,0.8686605981794538,0.8274181281745939,0.11094544177561881,0.8686605981794538,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8274181281745939,0.11094544177561881,0.8686605981794538,0.8274181281745939,0.11094544177561881,0.8686605981794538,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.9494139920502163,0.1598028590293708,0.0,0.9494139920502163,0.0
5,1,5,permuted-mnist-task1-npz,0,0,5,3;2;4;1;0,1,freeze_P,0,0,5,0.9150411790203727,0.9250108365843086,0.009969657563935863,nan,nan,nan,nan,nan,0,"{""1"": 0.9150411790203727}","{""1"": 0.9250108365843086}","{""1"": 0.009969657563935863}",0.8996748459721102,0.04121340705832086,0.9150411790203727,0.8996748459721102,0.04121340705832086,0.9150411790203727,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8996748459721102,0.04121340705832086,0.9150411790203727,0.8996748459721102,0.04121340705832086,0.9150411790203727,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.8209335044536694,0.08505697307577212,0.0,0.8209335044536694,0.0
6,1,6,permuted-mnist-task1-npz,0,0,5,4;0;3;2;1,1,freeze_P,0,0,5,0.9250108365843086,0.9401820546163849,0.015171218032076328,nan,nan,nan,nan,nan,0,"{""1"": 0.9250108365843086}","{""1"": 0.9401820546163849}","{""1"": 0.015171218032076328}",0.9025561260313036,0.05642602156508539,0.9250108365843086,0.9025561260313036,0.05642602156508539,0.9250108365843086,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9025561260313036,0.05642602156508539,0.9250108365843086,0.9025561260313036,0.05642602156508539,0.9250108365843086,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.7527003398137919,0.12936232102033488,0.0,0.7527003398137919,0.0
7,1,7,permuted-mnist-task1-npz,0,0,5,3;2;1;4;0,1,freeze_P,0,0,5,0.9401820546163849,0.9475509319462505,0.007368877329865575,nan,nan,nan,nan,nan,0,"{""1"": 0.9401820546163849}","{""1"": 0.9475509319462505}","{""1"": 0.007368877329865575}",0.9290251285580471,0.02768464954942117,0.9401820546163849,0.9290251285580471,0.02768464954942117,0.9401820546163849,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9290251285580471,0.02768464954942117,0.9401820546163849,0.9290251285580471,0.02768464954942117,0.9401820546163849,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.7041024155255078,0.09164861387445429,0.0,0.7041024155255078,0.0
8,1,8,permuted-mnist-task1-npz,0,0,5,3;1;2;0;4,1,freeze_P,0,0,5,0.9475509319462505,0.9505851755526658,0.0030342436064152434,nan,nan,nan,nan,nan,0,"{""1"": 0.9475509319462505}","{""1"": 0.9505851755526658}","{""1"": 0.0030342436064152434}",0.9318027727269149,0.0384977055245876,0.9475509319462505,0.9318027727269149,0.0384977055245876,0.9475509319462505,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9318027727269149,0.0384977055245876,0.9475509319462505,0.9318027727269149,0.0384977055245876,0.9475509319462505,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.6642789931678628,0.12352435246554405,0.0,0.6642789931678628,0.0
9,1,9,permuted-mnist-task1-npz,0,0,5,0;2;3;4;1,1,freeze_P,0,0,5,0.9505851755526658,0.953185955786736,0.002600780234070288,nan,nan,nan,nan,nan,0,"{""1"": 0.9505851755526658}","{""1"": 0.953185955786736}","{""1"": 0.002600780234070288}",0.9416112889876945,0.02293209353622007,0.9505851755526658,0.9416112889876945,0.02293209353622007,0.9505851755526658,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9416112889876945,0.02293209353622007,0.9505851755526658,0.9416112889876945,0.02293209353622007,0.9505851755526658,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.6369156589901405,0.10978680181972793,0.0,0.6369156589901405,0.0
10,1,10,permuted-mnist-task1-npz,0,0,5,1;4;0;3;2,1,freeze_P,0,0,5,0.953185955786736,0.9557867360208062,0.002600780234070177,nan,nan,nan,nan,nan,0,"{""1"": 0.953185955786736}","{""1"": 0.9557867360208062}","{""1"": 0.002600780234070177}",0.9439622580786631,0.02383437476183925,0.953185955786736,0.9439622580786631,0.02383437476183925,0.953185955786736,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9439622580786631,0.02383437476183925,0.953185955786736,0.9439622580786631,0.02383437476183925,0.953185955786736,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.6067042368897028,0.12490946487278229,0.0,0.6067042368897028,0.0
