global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
201,2,1,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,D,0,0.64,0.952,0.31199999999999994,125
201,2,1,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.31199999999999994,0
201,2,1,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,D,0,0.925531914893617,0.9483282674772037,0.0227963525835867,658
201,2,1,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,0.0227963525835867,0
201,2,1,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,D,0,0.90625,0.9333333333333333,0.027083333333333348,480
201,2,1,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,D,0,nan,nan,0.027083333333333348,0
201,2,1,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.6352201257861635,0.9984276729559748,0.3632075471698113,636
201,2,1,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,D,0,nan,nan,0.3632075471698113,0
201,2,1,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,D,0,0.6299019607843137,0.9803921568627451,0.35049019607843135,408
201,2,1,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,D,0,nan,nan,0.35049019607843135,0
202,2,2,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,D,0,0.9270516717325228,0.9209726443768997,-0.006079027355623046,658
202,2,2,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,D,0,nan,nan,-0.006079027355623046,0
202,2,2,permuted-mnist-task2-npz,1,1,permuted-mnist-task1-npz,D,0,0.648,0.936,0.28800000000000003,125
202,2,2,permuted-mnist-task2-npz,1,0,OLD_TASKS_MEAN,D,0,nan,nan,0.28800000000000003,0
202,2,2,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,D,0,0.4025157232704403,0.9984276729559748,0.5959119496855345,636
