global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,local_eval_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,local_eval_global_acc_current_mean,local_eval_global_acc_current_std,local_eval_global_acc_current_wmean,local_eval_personalized_acc_current_mean,local_eval_personalized_acc_current_std,local_eval_personalized_acc_current_wmean,local_eval_delta_acc_current_mean,local_eval_delta_acc_current_std,local_eval_delta_acc_current_wmean,local_eval_global_acc_old_mean,local_eval_global_acc_old_std,local_eval_global_acc_old_wmean,local_eval_personalized_acc_old_mean,local_eval_personalized_acc_old_std,local_eval_personalized_acc_old_wmean,local_eval_delta_acc_old_mean,local_eval_delta_acc_old_std,local_eval_delta_acc_old_wmean,local_eval_global_acc_seen_mean,local_eval_global_acc_seen_std,local_eval_global_acc_seen_wmean,local_eval_personalized_acc_seen_mean,local_eval_personalized_acc_seen_std,local_eval_personalized_acc_seen_wmean,local_eval_delta_acc_seen_mean,local_eval_delta_acc_seen_std,local_eval_delta_acc_seen_wmean,local_eval_num_clients,local_eval_num_task_evals,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
1,1,1,permuted-mnist-task1-npz,0,0,5,3;2;0;4;1,1,freeze_S,0,0,5,0.09579540528825314,0.3732119635890767,0.27741655830082357,nan,nan,nan,nan,nan,0,"{""1"": 0.09579540528825314}","{""1"": 0.3732119635890767}","{""1"": 0.27741655830082357}",0.10259504530033611,0.07175316052357182,0.09579540528825314,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.10259504530033611,0.07175316052357182,0.09579540528825314,0.0,0.0,0.0,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.046624493209174,0.4002421321588567,2.046624493209174,0.0,0.9999999999994873
2,1,2,permuted-mnist-task1-npz,0,0,5,1;0;2;4;3,1,freeze_S,0,0,5,0.3732119635890767,0.44256610316428263,0.06935413957520592,nan,nan,nan,nan,nan,0,"{""1"": 0.3732119635890767}","{""1"": 0.44256610316428263}","{""1"": 0.06935413957520592}",0.3033158494389325,0.3217494915803395,0.3732119635890767,0.7768789046730695,0.12114971142334659,0.788903337667967,0.47356305523413694,0.32683312317963875,0.41569137407889034,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3033158494389325,0.3217494915803395,0.3732119635890767,0.7768789046730695,0.12114971142334659,0.788903337667967,0.47356305523413694,0.32683312317963875,0.41569137407889034,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.31213523881611,0.4283420148252764,2.31213523881611,0.0,0.9999999999995491
3,1,3,permuted-mnist-task1-npz,0,0,5,4;1;2;3;0,1,freeze_S,0,0,5,0.44256610316428263,0.4711746857390551,0.028608582574772445,nan,nan,nan,nan,nan,0,"{""1"": 0.44256610316428263}","{""1"": 0.4711746857390551}","{""1"": 0.028608582574772445}",0.38554927509341763,0.32239533920132213,0.44256610316428263,0.7815749533052884,0.11476596928074186,0.7936714347637625,0.39602567821187085,0.3458588895199831,0.35110533159947976,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.38554927509341763,0.32239533920132213,0.44256610316428263,0.7815749533052884,0.11476596928074186,0.7936714347637625,0.39602567821187085,0.3458588895199831,0.35110533159947976,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.4774553612557164,0.4390829854727234,2.4774553612557164,0.0,0.9999999999995811
4,1,4,permuted-mnist-task1-npz,0,0,5,4;3;1;2;0,1,freeze_S,0,0,5,0.4711746857390551,0.5045513654096229,0.03337667967056779,nan,nan,nan,nan,nan,0,"{""1"": 0.4711746857390551}","{""1"": 0.5045513654096229}","{""1"": 0.03337667967056779}",0.4085197344614281,0.2863640632467183,0.4711746857390551,0.8013938489486521,0.09491729344743166,0.8153446033810143,0.392874114487224,0.3082166297575797,0.3441699176419592,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4085197344614281,0.2863640632467183,0.4711746857390551,0.8013938489486521,0.09491729344743166,0.8153446033810143,0.392874114487224,0.3082166297575797,0.3441699176419592,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.584805269029031,0.41484794208112324,2.584805269029031,0.0,0.999999999999601
5,1,5,permuted-mnist-task1-npz,0,0,5,3;2;4;1;0,1,freeze_S,0,0,5,0.5045513654096229,0.5327264846120503,0.028175119202427434,nan,nan,nan,nan,nan,0,"{""1"": 0.5045513654096229}","{""1"": 0.5327264846120503}","{""1"": 0.028175119202427434}",0.4309457299499487,0.28396507972195345,0.5045513654096229,0.8124184183508809,0.08782629911190186,0.8270481144343304,0.3814726884009324,0.3007765537129664,0.3224967490247074,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4309457299499487,0.28396507972195345,0.5045513654096229,0.8124184183508809,0.08782629911190186,0.8270481144343304,0.3814726884009324,0.3007765537129664,0.3224967490247074,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.66864860836556,0.3827085583691651,2.66864860836556,0.0,0.9999999999996161
6,1,6,permuted-mnist-task1-npz,0,0,5,4;0;3;2;1,1,freeze_S,0,0,5,0.5327264846120503,0.5422626788036411,0.009536194191590797,nan,nan,nan,nan,nan,0,"{""1"": 0.5327264846120503}","{""1"": 0.5422626788036411}","{""1"": 0.009536194191590797}",0.4514140129114673,0.29199528467209884,0.5327264846120503,0.8198368628463026,0.08480468531408066,0.8361508452535761,0.3684228499348354,0.3072119048538467,0.3034243606415257,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4514140129114673,0.29199528467209884,0.5327264846120503,0.8198368628463026,0.08480468531408066,0.8361508452535761,0.3684228499348354,0.3072119048538467,0.3034243606415257,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.734851879235273,0.35242339154325164,2.734851879235273,0.0,0.9999999999996273
7,1,7,permuted-mnist-task1-npz,0,0,5,3;2;1;4;0,1,freeze_S,0,0,5,0.5422626788036411,0.553099263112267,0.010836584308625885,nan,nan,nan,nan,nan,0,"{""1"": 0.5422626788036411}","{""1"": 0.553099263112267}","{""1"": 0.010836584308625885}",0.46151132131696515,0.2940856041223763,0.5422626788036411,0.8248969123578777,0.08680603288275328,0.8430862592110967,0.36338559104091256,0.3140410393096228,0.3008235804074555,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.46151132131696515,0.2940856041223763,0.5422626788036411,0.8248969123578777,0.08680603288275328,0.8430862592110967,0.36338559104091256,0.3140410393096228,0.3008235804074555,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7812019827060217,0.3217990796744553,2.7812019827060217,0.0,0.999999999999635
8,1,8,permuted-mnist-task1-npz,0,0,5,3;1;2;0;4,1,freeze_S,0,0,5,0.553099263112267,0.5617685305591678,0.008669267446900775,nan,nan,nan,nan,nan,0,"{""1"": 0.553099263112267}","{""1"": 0.5617685305591678}","{""1"": 0.008669267446900775}",0.4692303956990263,0.30329267233810275,0.553099263112267,0.8405807388953173,0.07679336361593213,0.857824013870828,0.371350343196291,0.3206615272664638,0.3047247507585609,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4692303956990263,0.30329267233810275,0.553099263112267,0.8405807388953173,0.07679336361593213,0.857824013870828,0.371350343196291,0.3206615272664638,0.3047247507585609,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.8234897874778384,0.2937069211022196,2.8234897874778384,0.0,0.9999999999996415
9,1,9,permuted-mnist-task1-npz,0,0,5,0;2;3;4;1,1,freeze_S,0,0,5,0.5617685305591678,0.5704377980060685,0.008669267446900775,nan,nan,nan,nan,nan,0,"{""1"": 0.5617685305591678}","{""1"": 0.5704377980060685}","{""1"": 0.008669267446900775}",0.47576028425019146,0.30990819012242177,0.5617685305591678,0.8552391184173388,0.06766444728641709,0.871261378413524,0.3794788341671474,0.3235470765925118,0.3094928478543563,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.47576028425019146,0.30990819012242177,0.5617685305591678,0.8552391184173388,0.06766444728641709,0.871261378413524,0.3794788341671474,0.3235470765925118,0.3094928478543563,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.8641913056208543,0.2648637302831482,2.8641913056208543,0.0,0.9999999999996476
10,1,10,permuted-mnist-task1-npz,0,0,5,1;4;0;3;2,1,freeze_S,0,0,5,0.5704377980060685,0.577373211963589,0.006935413957520509,nan,nan,nan,nan,nan,0,"{""1"": 0.5704377980060685}","{""1"": 0.577373211963589}","{""1"": 0.006935413957520509}",0.48056723020802056,0.3151528255057651,0.5704377980060685,0.8606496303780444,0.06718793420891006,0.8764629388816645,0.38008240017002387,0.32830135744695843,0.306025140875596,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.48056723020802056,0.3151528255057651,0.5704377980060685,0.8606496303780444,0.06718793420891006,0.8764629388816645,0.38008240017002387,0.32830135744695843,0.306025140875596,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.9050677861461893,0.24542304440240176,2.9050677861461893,0.0,0.9999999999996533
