exp_code,summary_type,metric,G_start,P_start,value
A,start_state,U_norm,0.6041815484621164,0.3758024227670768,
A,start_state,U_P_norm,0.18546886147226477,0.08599634831633521,
A,start_state,U_S_norm,0.5731011641440293,0.3651043720422773,
A,start_state,U_P_ratio,0.29630278409261834,0.23582759646678259,
A,start_state,Loss_after,0.9204195267293187,0.7102564596053627,
A,start_state,TopEig_proj_ratio,0.4001345040560042,0.4397365140569337,
A,pairwise,grad_alignment,,,0.8464560039121761
A,pairwise,update_alignment,,,0.8756145651327317
A,pairwise,risk_gap_loss_after_P_minus_G,,,-0.21016306712395613
A,pairwise,risk_gap_loss_delta_P_minus_G,,,1.4305088196115359
A,pairwise,top_eig_proj_gap_P_minus_G,,,-0.06668138684900969
B,start_state,U_norm,0.8575480877017952,0.8575407950294042,
B,start_state,U_P_norm,0.23589220704918643,0.23589168034156047,
B,start_state,U_S_norm,0.8221157164904409,0.8221082525656687,
B,start_state,U_P_ratio,0.3129909367336529,0.31299415890815635,
B,start_state,Loss_after,1.5373237260182704,1.5373111159768371,
B,start_state,TopEig_proj_ratio,0.459975144272763,0.44918283904521306,
B,pairwise,grad_alignment,,,0.9999999999999997
B,pairwise,update_alignment,,,0.9999997186728491
B,pairwise,risk_gap_loss_after_P_minus_G,,,-1.2610041432923327e-05
B,pairwise,risk_gap_loss_delta_P_minus_G,,,-1.2610041432910152e-05
B,pairwise,top_eig_proj_gap_P_minus_G,,,0.0029759205087838223
